ProductionEventID,EventTimestamp,DateKey,UnitCode,ShiftKey,ClockHour,HourOfShift,AreaID,ActivityID,Quantity,UnitOfMeasure,EventDurationMinutes,HaulDistanceKm,RoadConditionIndex,CongestionIndex,PayloadTonnes,MaterialType,SourceSystem
P-0108875,2025-10-01 01:00:00,20251001,LH-006,NIGHT-B,1,7,A01,ACT-LOAD,171.37,t,21.7,0.645,0.88,0.239,171.37,Ore,Pitram-SIM
P-0000003,2025-10-01 01:00:00,20251001,TR-001,NIGHT-B,1,7,A01,ACT-HAUL,47.467,t,36.43,2.23,0.866,0.342,47.467,Ore,Pitram-SIM
P-0016930,2025-10-01 01:00:00,20251001,TR-003,NIGHT-B,1,7,A01,ACT-HAUL,42.261,t,38.23,1.978,0.799,0.247,42.261,Ore,Pitram-SIM
P-0025220,2025-10-01 01:00:00,20251001,TR-004,NIGHT-B,1,7,A01,ACT-HAUL,48.662,t,33.57,2.096,0.652,0.414,48.662,Ore,Pitram-SIM
P-0041904,2025-10-01 01:00:00,20251001,TR-006,NIGHT-B,1,7,A02,ACT-HAUL,47.437,t,30.16,2.019,0.837,0.205,47.437,Ore,Pitram-SIM
P-0050367,2025-10-01 01:00:00,20251001,TR-007,NIGHT-B,1,7,A01,ACT-HAUL,41.369,t,27.69,1.753,0.888,0.219,41.369,Ore,Pitram-SIM
P-0067530,2025-10-01 01:00:00,20251001,TR-009,NIGHT-B,1,7,A01,ACT-HAUL,43.629,t,29.7,1.912,0.877,0.072,43.629,Ore,Pitram-SIM
P-0083924,2025-10-01 01:00:00,20251001,TR-011,NIGHT-B,1,7,A01,ACT-HAUL,53.041,t,31.7,1.919,0.837,0.539,53.041,Ore,Pitram-SIM
P-0136260,2025-10-01 01:00:00,20251001,UV-003,NIGHT-B,1,7,A04,ACT-AUX,1.361,trips,42.85,,,,,,DeswikOps-SIM
P-0126393,2025-10-01 01:30:00,20251001,BT-002,NIGHT-B,1,7,A03,ACT-GS,0.962,bolts,41.62,,,,,,DeswikOps-SIM
P-0105684,2025-10-01 01:30:00,20251001,LH-004,NIGHT-B,1,7,A01,ACT-LOAD,169.621,t,31.94,1.231,0.704,0.213,169.621,Ore,Pitram-SIM
P-0117330,2025-10-01 01:30:00,20251001,LH-005,NIGHT-B,1,7,A01,ACT-LOAD,140.541,t,27.61,0.655,0.926,0.246,140.541,Ore,Pitram-SIM
P-0000004,2025-10-01 01:30:00,20251001,TR-001,NIGHT-B,1,7,A01,ACT-HAUL,40.42,t,38.48,2.253,0.59,0.42,40.42,Ore,Pitram-SIM
P-0008489,2025-10-01 01:30:00,20251001,TR-002,NIGHT-B,1,7,A01,ACT-HAUL,44.764,t,26.18,2.35,0.614,0.057,44.764,Ore,Pitram-SIM
P-0016931,2025-10-01 01:30:00,20251001,TR-003,NIGHT-B,1,7,A01,ACT-HAUL,56.11,t,30.43,2.16,0.871,0.158,56.11,Ore,Pitram-SIM
P-0025221,2025-10-01 01:30:00,20251001,TR-004,NIGHT-B,1,7,A01,ACT-HAUL,46.437,t,37.48,2.054,0.67,0.258,46.437,Ore,Pitram-SIM
P-0050368,2025-10-01 01:30:00,20251001,TR-007,NIGHT-B,1,7,A03,ACT-HAUL,39.904,t,35.96,2.149,0.849,0.055,39.904,Ore,Pitram-SIM
P-0067531,2025-10-01 01:30:00,20251001,TR-009,NIGHT-B,1,7,A01,ACT-HAUL,52.519,t,27.85,1.87,0.726,0.112,52.519,Ore,Pitram-SIM
P-0132885,2025-10-01 01:30:00,20251001,UV-003,NIGHT-B,1,7,A04,ACT-AUX,0.839,trips,32.33,,,,,,DeswikOps-SIM
P-0119050,2025-10-01 02:00:00,20251001,JD-002,NIGHT-B,2,8,A02,ACT-DEV,2.299,m,45.75,,,,,,DeswikOps-SIM
P-0119540,2025-10-01 02:00:00,20251001,JD-005,NIGHT-B,2,8,A02,ACT-DEV,2.503,m,64.11,,,,,,DeswikOps-SIM
P-0000005,2025-10-01 02:00:00,20251001,TR-001,NIGHT-B,2,8,A01,ACT-HAUL,46.101,t,34.49,2.272,0.76,0.119,46.101,Ore,Pitram-SIM
P-0008490,2025-10-01 02:00:00,20251001,TR-002,NIGHT-B,2,8,A01,ACT-HAUL,43.961,t,31.13,2.159,0.688,0.196,43.961,Ore,Pitram-SIM
P-0016932,2025-10-01 02:00:00,20251001,TR-003,NIGHT-B,2,8,A04,ACT-HAUL,41.582,t,31.79,1.993,0.815,0.083,41.582,Ore,Pitram-SIM
P-0025222,2025-10-01 02:00:00,20251001,TR-004,NIGHT-B,2,8,A01,ACT-HAUL,47.247,t,33.31,1.782,0.65,0.311,47.247,Ore,Pitram-SIM
P-0033487,2025-10-01 02:00:00,20251001,TR-005,NIGHT-B,2,8,A01,ACT-HAUL,37.377,t,34.45,1.922,0.798,0.371,37.377,Ore,Pitram-SIM
P-0050369,2025-10-01 02:00:00,20251001,TR-007,NIGHT-B,2,8,A01,ACT-HAUL,39.247,t,30.79,1.959,0.854,0.224,39.247,Ore,Pitram-SIM
P-0067532,2025-10-01 02:00:00,20251001,TR-009,NIGHT-B,2,8,A03,ACT-HAUL,42.958,t,34.74,2.002,0.797,0.105,42.958,Ore,Pitram-SIM
P-0124014,2025-10-01 02:30:00,20251001,BT-002,NIGHT-B,2,8,A03,ACT-GS,1.745,bolts,37.03,,,,,,DeswikOps-SIM
P-0000006,2025-10-01 02:30:00,20251001,TR-001,NIGHT-B,2,8,A01,ACT-HAUL,46.417,t,30.14,2.216,0.858,0.095,46.417,Ore,Pitram-SIM
P-0016933,2025-10-01 02:30:00,20251001,TR-003,NIGHT-B,2,8,A02,ACT-HAUL,47.331,t,36.6,2.06,0.768,0.289,47.331,Ore,Pitram-SIM
P-0025223,2025-10-01 02:30:00,20251001,TR-004,NIGHT-B,2,8,A01,ACT-HAUL,41.517,t,32.25,1.998,0.785,0.641,41.517,Ore,Pitram-SIM
P-0033488,2025-10-01 02:30:00,20251001,TR-005,NIGHT-B,2,8,A01,ACT-HAUL,52.902,t,28.91,1.751,0.879,0.246,52.902,Ore,Pitram-SIM
P-0041905,2025-10-01 02:30:00,20251001,TR-006,NIGHT-B,2,8,A01,ACT-HAUL,45.082,t,35.86,2.081,0.711,0.145,45.082,Ore,Pitram-SIM
P-0058681,2025-10-01 02:30:00,20251001,TR-008,NIGHT-B,2,8,A01,ACT-HAUL,38.202,t,24.36,1.919,0.882,0.041,38.202,Ore,Pitram-SIM
P-0067533,2025-10-01 02:30:00,20251001,TR-009,NIGHT-B,2,8,A01,ACT-HAUL,43.093,t,33.63,2.35,0.779,0.156,43.093,Ore,Pitram-SIM
P-0000007,2025-10-01 03:00:00,20251001,TR-001,NIGHT-B,3,9,A01,ACT-HAUL,52.434,t,34.89,2.168,0.693,0.339,52.434,Ore,Pitram-SIM
P-0016934,2025-10-01 03:00:00,20251001,TR-003,NIGHT-B,3,9,A01,ACT-HAUL,41.134,t,31.76,1.904,0.835,0.167,41.134,Ore,Pitram-SIM
P-0025224,2025-10-01 03:00:00,20251001,TR-004,NIGHT-B,3,9,A01,ACT-HAUL,41.221,t,31.54,2.285,0.764,0.134,41.221,Ore,Pitram-SIM
P-0033489,2025-10-01 03:00:00,20251001,TR-005,NIGHT-B,3,9,A01,ACT-HAUL,49.731,t,29.05,1.757,0.695,0.174,49.731,Ore,Pitram-SIM
P-0041906,2025-10-01 03:00:00,20251001,TR-006,NIGHT-B,3,9,A01,ACT-HAUL,51.205,t,34.03,1.896,0.734,0.289,51.205,Ore,Pitram-SIM
P-0058682,2025-10-01 03:00:00,20251001,TR-008,NIGHT-B,3,9,A01,ACT-HAUL,39.326,t,27.53,2.146,0.827,0.227,39.326,Ore,Pitram-SIM
P-0067534,2025-10-01 03:00:00,20251001,TR-009,NIGHT-B,3,9,A01,ACT-HAUL,45.749,t,29.02,1.921,0.727,0.101,45.749,Ore,Pitram-SIM
P-0102746,2025-10-01 03:30:00,20251001,LH-005,NIGHT-B,3,9,A01,ACT-LOAD,187.38,t,29.97,0.797,0.921,0.096,187.38,Ore,Pitram-SIM
P-0000008,2025-10-01 03:30:00,20251001,TR-001,NIGHT-B,3,9,A01,ACT-HAUL,52.459,t,36.52,2.318,0.789,0.018,52.459,Ore,Pitram-SIM
P-0016935,2025-10-01 03:30:00,20251001,TR-003,NIGHT-B,3,9,A01,ACT-HAUL,48.488,t,30.54,2.078,0.653,0.589,48.488,Ore,Pitram-SIM
P-0025225,2025-10-01 03:30:00,20251001,TR-004,NIGHT-B,3,9,A01,ACT-HAUL,55.436,t,35.61,2.106,0.921,0.386,55.436,Ore,Pitram-SIM
P-0033490,2025-10-01 03:30:00,20251001,TR-005,NIGHT-B,3,9,A01,ACT-HAUL,46.115,t,33.0,2.105,0.813,0.189,46.115,Ore,Pitram-SIM
P-0041907,2025-10-01 03:30:00,20251001,TR-006,NIGHT-B,3,9,A01,ACT-HAUL,56.872,t,34.94,2.154,0.742,0.071,56.872,Ore,Pitram-SIM
P-0058683,2025-10-01 03:30:00,20251001,TR-008,NIGHT-B,3,9,A01,ACT-HAUL,42.344,t,29.79,2.004,0.853,0.075,42.344,Ore,Pitram-SIM
P-0067535,2025-10-01 03:30:00,20251001,TR-009,NIGHT-B,3,9,A01,ACT-HAUL,47.651,t,30.07,1.835,0.793,0.347,47.651,Ore,Pitram-SIM
P-0134632,2025-10-01 03:30:00,20251001,UV-003,NIGHT-B,3,9,A04,ACT-AUX,0.685,trips,34.44,,,,,,DeswikOps-SIM
P-0121152,2025-10-01 04:00:00,20251001,JD-005,NIGHT-B,4,10,A02,ACT-DEV,2.256,m,57.74,,,,,,DeswikOps-SIM
P-0000009,2025-10-01 04:00:00,20251001,TR-001,NIGHT-B,4,10,A01,ACT-HAUL,47.945,t,35.46,1.893,0.828,0.099,47.945,Ore,Pitram-SIM
P-0016936,2025-10-01 04:00:00,20251001,TR-003,NIGHT-B,4,10,A01,ACT-HAUL,56.721,t,33.35,1.89,0.761,0.143,56.721,Ore,Pitram-SIM
P-0025226,2025-10-01 04:00:00,20251001,TR-004,NIGHT-B,4,10,A01,ACT-HAUL,58.093,t,28.78,2.058,0.668,0.214,58.093,Ore,Pitram-SIM
P-0041908,2025-10-01 04:00:00,20251001,TR-006,NIGHT-B,4,10,A01,ACT-HAUL,41.918,t,36.81,2.074,0.578,0.692,41.918,Ore,Pitram-SIM
P-0058684,2025-10-01 04:00:00,20251001,TR-008,NIGHT-B,4,10,A01,ACT-HAUL,46.725,t,30.76,2.164,0.783,0.192,46.725,Ore,Pitram-SIM
P-0067536,2025-10-01 04:00:00,20251001,TR-009,NIGHT-B,4,10,A01,ACT-HAUL,50.186,t,29.79,1.95,0.801,0.124,50.186,Ore,Pitram-SIM
P-0109606,2025-10-01 04:30:00,20251001,LH-003,NIGHT-B,4,10,A01,ACT-LOAD,123.43,t,23.12,0.552,0.942,0.163,123.43,Ore,Pitram-SIM
P-0000010,2025-10-01 04:30:00,20251001,TR-001,NIGHT-B,4,10,A04,ACT-HAUL,44.555,t,34.06,2.209,0.821,0.419,44.555,Ore,Pitram-SIM
P-0016937,2025-10-01 04:30:00,20251001,TR-003,NIGHT-B,4,10,A01,ACT-HAUL,50.572,t,26.93,1.948,0.774,0.166,50.572,Ore,Pitram-SIM
P-0025227,2025-10-01 04:30:00,20251001,TR-004,NIGHT-B,4,10,A01,ACT-HAUL,45.921,t,34.35,2.078,0.755,0.371,45.921,Ore,Pitram-SIM
P-0041909,2025-10-01 04:30:00,20251001,TR-006,NIGHT-B,4,10,A01,ACT-HAUL,39.894,t,32.62,1.935,0.939,0.529,39.894,Ore,Pitram-SIM
P-0058685,2025-10-01 04:30:00,20251001,TR-008,NIGHT-B,4,10,A01,ACT-HAUL,36.312,t,30.42,1.899,0.857,0.096,36.312,Ore,Pitram-SIM
P-0067537,2025-10-01 04:30:00,20251001,TR-009,NIGHT-B,4,10,A01,ACT-HAUL,48.532,t,33.14,2.13,0.734,0.207,48.532,Ore,Pitram-SIM
P-0101504,2025-10-01 05:00:00,20251001,LH-002,NIGHT-B,5,11,A01,ACT-LOAD,171.312,t,21.17,0.988,1.0,0.188,171.312,Ore,Pitram-SIM
P-0000011,2025-10-01 05:00:00,20251001,TR-001,NIGHT-B,5,11,A01,ACT-HAUL,50.448,t,32.89,2.011,0.797,0.161,50.448,Ore,Pitram-SIM
P-0016938,2025-10-01 05:00:00,20251001,TR-003,NIGHT-B,5,11,A02,ACT-HAUL,47.461,t,28.46,1.871,0.756,0.091,47.461,Ore,Pitram-SIM
P-0025228,2025-10-01 05:00:00,20251001,TR-004,NIGHT-B,5,11,A04,ACT-HAUL,46.029,t,25.08,1.69,0.807,0.403,46.029,Ore,Pitram-SIM
P-0041910,2025-10-01 05:00:00,20251001,TR-006,NIGHT-B,5,11,A01,ACT-HAUL,47.197,t,33.18,2.059,0.622,0.205,47.197,Ore,Pitram-SIM
P-0050370,2025-10-01 05:00:00,20251001,TR-007,NIGHT-B,5,11,A01,ACT-HAUL,45.407,t,32.76,2.204,0.772,0.271,45.407,Ore,Pitram-SIM
P-0058686,2025-10-01 05:00:00,20251001,TR-008,NIGHT-B,5,11,A01,ACT-HAUL,56.283,t,36.75,2.35,0.896,0.599,56.283,Ore,Pitram-SIM
P-0067538,2025-10-01 05:00:00,20251001,TR-009,NIGHT-B,5,11,A01,ACT-HAUL,48.052,t,36.49,2.139,0.805,0.342,48.052,Ore,Pitram-SIM
P-0083925,2025-10-01 05:00:00,20251001,TR-011,NIGHT-B,5,11,A01,ACT-HAUL,46.908,t,34.79,1.941,0.824,0.154,46.908,Ore,Pitram-SIM
P-0136784,2025-10-01 05:00:00,20251001,UV-003,NIGHT-B,5,11,A04,ACT-AUX,1.002,trips,34.54,,,,,,DeswikOps-SIM
P-0114868,2025-10-01 05:30:00,20251001,LH-003,NIGHT-B,5,11,A03,ACT-LOAD,254.863,t,24.25,0.768,0.771,0.113,254.863,Ore,Pitram-SIM
P-0106911,2025-10-01 05:30:00,20251001,LH-007,NIGHT-B,5,11,A01,ACT-LOAD,147.264,t,21.89,0.507,0.808,0.429,147.264,Ore,Pitram-SIM
P-0000012,2025-10-01 05:30:00,20251001,TR-001,NIGHT-B,5,11,A01,ACT-HAUL,43.878,t,33.78,2.083,0.918,0.299,43.878,Ore,Pitram-SIM
P-0016939,2025-10-01 05:30:00,20251001,TR-003,NIGHT-B,5,11,A01,ACT-HAUL,37.999,t,28.19,1.958,0.999,0.155,37.999,Ore,Pitram-SIM
P-0050371,2025-10-01 05:30:00,20251001,TR-007,NIGHT-B,5,11,A01,ACT-HAUL,43.219,t,32.18,2.024,0.608,0.216,43.219,Ore,Pitram-SIM
P-0058687,2025-10-01 05:30:00,20251001,TR-008,NIGHT-B,5,11,A01,ACT-HAUL,51.37,t,37.11,2.164,0.829,0.054,51.37,Ore,Pitram-SIM
P-0067539,2025-10-01 05:30:00,20251001,TR-009,NIGHT-B,5,11,A01,ACT-HAUL,43.812,t,32.9,2.028,0.8,0.077,43.812,Ore,Pitram-SIM
P-0130908,2025-10-01 05:30:00,20251001,UV-001,NIGHT-B,5,11,A04,ACT-AUX,0.967,trips,52.59,,,,,,DeswikOps-SIM
P-0132042,2025-10-01 05:30:00,20251001,UV-004,NIGHT-B,5,11,A04,ACT-AUX,0.981,trips,34.81,,,,,,DeswikOps-SIM
P-0128064,2025-10-01 06:00:00,20251001,BT-002,DAY-A,6,0,A03,ACT-GS,1.086,bolts,38.7,,,,,,DeswikOps-SIM
P-0111725,2025-10-01 06:00:00,20251001,LH-002,DAY-A,6,0,A01,ACT-LOAD,164.681,t,17.85,0.271,0.996,0.323,164.681,Ore,Pitram-SIM
P-0000013,2025-10-01 06:00:00,20251001,TR-001,DAY-A,6,0,A01,ACT-HAUL,48.607,t,34.11,1.908,0.646,0.155,48.607,Ore,Pitram-SIM
P-0016940,2025-10-01 06:00:00,20251001,TR-003,DAY-A,6,0,A01,ACT-HAUL,46.779,t,29.57,1.893,0.754,0.096,46.779,Ore,Pitram-SIM
P-0050372,2025-10-01 06:00:00,20251001,TR-007,DAY-A,6,0,A01,ACT-HAUL,40.318,t,29.68,1.796,0.793,0.307,40.318,Ore,Pitram-SIM
P-0058688,2025-10-01 06:00:00,20251001,TR-008,DAY-A,6,0,A01,ACT-HAUL,53.384,t,31.12,1.774,0.767,0.054,53.384,Ore,Pitram-SIM
P-0067540,2025-10-01 06:00:00,20251001,TR-009,DAY-A,6,0,A01,ACT-HAUL,47.802,t,32.52,2.057,0.776,0.337,47.802,Ore,Pitram-SIM
P-0108759,2025-10-01 06:30:00,20251001,LH-002,DAY-A,6,0,A01,ACT-LOAD,192.079,t,15.5,0.533,0.801,0.307,192.079,Ore,Pitram-SIM
P-0117206,2025-10-01 06:30:00,20251001,LH-005,DAY-A,6,0,A01,ACT-LOAD,132.841,t,31.91,0.427,0.821,0.213,132.841,Ore,Pitram-SIM
P-0016941,2025-10-01 06:30:00,20251001,TR-003,DAY-A,6,0,A01,ACT-HAUL,43.058,t,32.29,2.081,0.71,0.156,43.058,Ore,Pitram-SIM
P-0050373,2025-10-01 06:30:00,20251001,TR-007,DAY-A,6,0,A01,ACT-HAUL,45.782,t,33.53,2.084,0.975,0.495,45.782,Ore,Pitram-SIM
P-0058689,2025-10-01 06:30:00,20251001,TR-008,DAY-A,6,0,A01,ACT-HAUL,44.606,t,33.81,1.841,0.849,0.435,44.606,Ore,Pitram-SIM
P-0076065,2025-10-01 06:30:00,20251001,TR-010,DAY-A,6,0,A01,ACT-HAUL,42.935,t,33.44,1.94,0.871,0.3,42.935,Ore,Pitram-SIM
P-0116670,2025-10-01 07:00:00,20251001,LH-007,DAY-A,7,1,A03,ACT-LOAD,173.475,t,34.13,0.324,0.986,0.189,173.475,Ore,Pitram-SIM
P-0016942,2025-10-01 07:00:00,20251001,TR-003,DAY-A,7,1,A01,ACT-HAUL,52.6,t,34.48,2.237,0.763,0.039,52.6,Ore,Pitram-SIM
P-0050374,2025-10-01 07:00:00,20251001,TR-007,DAY-A,7,1,A03,ACT-HAUL,51.885,t,27.99,1.772,0.789,0.053,51.885,Ore,Pitram-SIM
P-0083926,2025-10-01 07:00:00,20251001,TR-011,DAY-A,7,1,A01,ACT-HAUL,53.091,t,34.61,2.059,0.876,0.109,53.091,Ore,Pitram-SIM
P-0076066,2025-10-01 07:30:00,20251001,TR-010,DAY-A,7,1,A01,ACT-HAUL,47.279,t,33.49,2.343,0.773,0.319,47.279,Ore,Pitram-SIM
P-0083927,2025-10-01 07:30:00,20251001,TR-011,DAY-A,7,1,A01,ACT-HAUL,37.102,t,30.72,2.145,0.747,0.198,37.102,Ore,Pitram-SIM
P-0129961,2025-10-01 08:00:00,20251001,BT-006,DAY-A,8,2,A03,ACT-GS,1.017,bolts,20.52,,,,,,DeswikOps-SIM
P-0120737,2025-10-01 08:00:00,20251001,JD-005,DAY-A,8,2,A02,ACT-DEV,1.62,m,55.28,,,,,,DeswikOps-SIM
P-0058690,2025-10-01 08:00:00,20251001,TR-008,DAY-A,8,2,A01,ACT-HAUL,43.085,t,29.87,2.049,0.76,0.044,43.085,Ore,Pitram-SIM
P-0083928,2025-10-01 08:00:00,20251001,TR-011,DAY-A,8,2,A02,ACT-HAUL,47.361,t,31.51,1.913,0.777,0.144,47.361,Ore,Pitram-SIM
P-0111122,2025-10-01 08:30:00,20251001,LH-006,DAY-A,8,2,A01,ACT-LOAD,284.931,t,25.2,0.689,0.858,0.464,284.931,Ore,Pitram-SIM
P-0025229,2025-10-01 08:30:00,20251001,TR-004,DAY-A,8,2,A01,ACT-HAUL,49.804,t,30.52,2.016,0.828,0.233,49.804,Ore,Pitram-SIM
P-0033491,2025-10-01 08:30:00,20251001,TR-005,DAY-A,8,2,A01,ACT-HAUL,54.94,t,33.35,1.883,0.668,0.269,54.94,Ore,Pitram-SIM
P-0058691,2025-10-01 08:30:00,20251001,TR-008,DAY-A,8,2,A01,ACT-HAUL,50.363,t,31.76,1.925,0.674,0.121,50.363,Ore,Pitram-SIM
P-0083929,2025-10-01 08:30:00,20251001,TR-011,DAY-A,8,2,A03,ACT-HAUL,49.184,t,36.45,2.042,0.672,0.413,49.184,Ore,Pitram-SIM
P-0118139,2025-10-01 09:00:00,20251001,LH-003,DAY-A,9,3,A01,ACT-LOAD,189.278,t,22.96,0.593,0.825,0.324,189.278,Ore,Pitram-SIM
P-0107271,2025-10-01 09:00:00,20251001,LH-007,DAY-A,9,3,A03,ACT-LOAD,251.748,t,14.83,0.913,0.705,0.179,251.748,Ore,Pitram-SIM
P-0106634,2025-10-01 09:00:00,20251001,LH-008,DAY-A,9,3,A01,ACT-LOAD,178.706,t,36.57,0.62,0.82,0.221,178.706,Ore,Pitram-SIM
P-0016943,2025-10-01 09:00:00,20251001,TR-003,DAY-A,9,3,A02,ACT-HAUL,46.556,t,29.66,1.931,0.827,0.176,46.556,Ore,Pitram-SIM
P-0025230,2025-10-01 09:00:00,20251001,TR-004,DAY-A,9,3,A01,ACT-HAUL,53.386,t,32.1,2.153,0.772,0.076,53.386,Ore,Pitram-SIM
P-0033492,2025-10-01 09:00:00,20251001,TR-005,DAY-A,9,3,A01,ACT-HAUL,43.841,t,35.04,2.05,0.81,0.35,43.841,Ore,Pitram-SIM
P-0058692,2025-10-01 09:00:00,20251001,TR-008,DAY-A,9,3,A01,ACT-HAUL,49.045,t,34.33,2.06,0.822,0.326,49.045,Ore,Pitram-SIM
P-0067541,2025-10-01 09:00:00,20251001,TR-009,DAY-A,9,3,A04,ACT-HAUL,45.019,t,29.3,1.914,0.879,0.057,45.019,Ore,Pitram-SIM
P-0076067,2025-10-01 09:00:00,20251001,TR-010,DAY-A,9,3,A01,ACT-HAUL,48.497,t,34.79,2.07,0.62,0.383,48.497,Ore,Pitram-SIM
P-0083930,2025-10-01 09:00:00,20251001,TR-011,DAY-A,9,3,A01,ACT-HAUL,43.296,t,28.17,2.079,0.859,0.16,43.296,Ore,Pitram-SIM
P-0121762,2025-10-01 09:30:00,20251001,JD-001,DAY-A,9,3,A02,ACT-DEV,1.815,m,53.6,,,,,,DeswikOps-SIM
P-0104596,2025-10-01 09:30:00,20251001,LH-008,DAY-A,9,3,A01,ACT-LOAD,145.105,t,32.97,0.67,0.79,0.18,145.105,Ore,Pitram-SIM
P-0008491,2025-10-01 09:30:00,20251001,TR-002,DAY-A,9,3,A01,ACT-HAUL,40.914,t,29.05,1.845,0.814,0.372,40.914,Ore,Pitram-SIM
P-0016944,2025-10-01 09:30:00,20251001,TR-003,DAY-A,9,3,A01,ACT-HAUL,47.024,t,20.33,1.695,0.706,0.158,47.024,Ore,Pitram-SIM
P-0025231,2025-10-01 09:30:00,20251001,TR-004,DAY-A,9,3,A01,ACT-HAUL,50.692,t,32.93,2.12,0.84,0.082,50.692,Ore,Pitram-SIM
P-0033493,2025-10-01 09:30:00,20251001,TR-005,DAY-A,9,3,A01,ACT-HAUL,43.073,t,31.13,1.917,0.765,0.451,43.073,Ore,Pitram-SIM
P-0058693,2025-10-01 09:30:00,20251001,TR-008,DAY-A,9,3,A01,ACT-HAUL,47.667,t,34.2,2.191,0.818,0.129,47.667,Ore,Pitram-SIM
P-0067542,2025-10-01 09:30:00,20251001,TR-009,DAY-A,9,3,A01,ACT-HAUL,42.287,t,30.65,2.125,0.909,0.203,42.287,Ore,Pitram-SIM
P-0076068,2025-10-01 09:30:00,20251001,TR-010,DAY-A,9,3,A01,ACT-HAUL,50.913,t,30.79,1.878,0.629,0.145,50.913,Ore,Pitram-SIM
P-0134413,2025-10-01 09:30:00,20251001,UV-001,DAY-A,9,3,A04,ACT-AUX,1.35,trips,34.37,,,,,,DeswikOps-SIM
P-0120765,2025-10-01 10:00:00,20251001,JD-001,DAY-A,10,4,A02,ACT-DEV,1.991,m,71.19,,,,,,DeswikOps-SIM
P-0000014,2025-10-01 10:00:00,20251001,TR-001,DAY-A,10,4,A01,ACT-HAUL,45.065,t,34.3,2.021,0.804,0.186,45.065,Ore,Pitram-SIM
P-0008492,2025-10-01 10:00:00,20251001,TR-002,DAY-A,10,4,A01,ACT-HAUL,49.233,t,30.65,2.155,0.898,0.18,49.233,Ore,Pitram-SIM
