FailureID,FailureTimestamp,DateKey,UnitCode,ComponentID,FailureMode,WorkOrderID,RepairStart,RepairEnd,ActiveRepairHours,LogisticsWaitHours,TotalDownHours,SMUHours,FailureCode,SourceSystem
F-000011,2025-10-25 12:30:00,20251025,TR-001,CMP-HYD,Main pump failure,WO-000016,2025-10-25 13:25:26,2025-10-25 16:19:25,2.9,0.92,3.82,8501.1,HYD-69,CMMS-SIM
F-000012,2025-10-27 15:30:00,20251027,TR-001,CMP-HYD,Boom cylinder seal leak,WO-000018,2025-10-27 15:47:07,2025-10-27 22:22:12,6.58,0.29,6.87,8582.7,HYD-35,CMMS-SIM
F-000013,2025-10-28 04:30:00,20251028,TR-001,CMP-HYD,Main pump failure,WO-000019,2025-10-28 04:56:53,2025-10-28 07:06:38,2.16,0.45,2.61,8650.1,HYD-90,CMMS-SIM
F-000014,2025-10-28 13:00:00,20251028,TR-001,CMP-TYR,Tyre change,WO-000020,2025-10-28 13:37:33,2025-10-28 21:47:46,8.17,0.63,8.8,8668.9,TYR-42,CMMS-SIM
F-000015,2025-10-30 01:00:00,20251030,TR-001,CMP-HYD,Valve block leak,WO-000022,2025-10-30 01:27:13,2025-10-30 10:48:16,9.35,0.45,9.8,8746.8,HYD-13,CMMS-SIM
F-000016,2025-10-30 14:30:00,20251030,TR-001,CMP-ELE,Lighting circuit fault,WO-000023,2025-10-30 15:33:31,2025-10-31 04:24:00,12.84,1.06,13.9,8767.9,ELE-11,CMMS-SIM
F-000017,2025-11-06 12:00:00,20251106,TR-001,CMP-ENG,Cooling issue,WO-000024,2025-11-06 12:35:14,2025-11-06 19:03:01,6.46,0.59,7.05,8790.7,ENG-02,CMMS-SIM
F-000018,2025-11-06 19:30:00,20251106,TR-001,CMP-HYD,Main pump failure,WO-000025,2025-11-06 19:38:53,2025-11-07 00:26:05,4.79,0.15,4.93,8834.1,HYD-34,CMMS-SIM
F-000019,2025-11-10 01:30:00,20251110,TR-001,CMP-STR,Crack inspection,WO-000027,2025-11-10 03:56:55,2025-11-10 10:11:08,6.24,2.45,8.69,8874.3,STR-11,CMMS-SIM
F-000020,2025-11-11 12:00:00,20251111,TR-001,CMP-TYR,Sidewall damage,WO-000028,2025-11-11 14:19:56,2025-11-11 23:40:22,9.34,2.33,11.67,8957.6,TYR-64,CMMS-SIM
F-000021,2025-11-13 00:30:00,20251113,TR-001,CMP-HYD,Hose burst,WO-000029,2025-11-13 01:42:19,2025-11-13 09:38:03,7.93,1.21,9.13,8992.9,HYD-33,CMMS-SIM
F-000022,2025-11-14 07:30:00,20251114,TR-001,CMP-TYR,Tyre change,WO-000031,2025-11-14 08:00:27,2025-11-14 12:50:33,4.83,0.51,5.34,9007.6,TYR-96,CMMS-SIM
F-000023,2025-11-20 17:00:00,20251120,TR-001,CMP-HYD,Valve block leak,WO-000033,2025-11-20 19:05:17,2025-11-21 05:55:30,10.84,2.09,12.93,9088.1,HYD-88,CMMS-SIM
F-000024,2025-11-26 02:30:00,20251126,TR-001,CMP-BRK,Brake wear alarm,WO-000035,2025-11-26 04:41:41,2025-11-26 09:28:42,4.78,2.19,6.98,9123.2,BRK-73,CMMS-SIM
F-000025,2025-11-27 00:00:00,20251127,TR-001,CMP-HYD,Main pump failure,WO-000037,2025-11-27 02:11:46,2025-11-27 14:55:51,12.73,2.2,14.93,9188.3,HYD-14,CMMS-SIM
F-000026,2025-11-28 09:00:00,20251128,TR-001,CMP-HYD,Boom cylinder seal leak,WO-000038,2025-11-28 12:09:16,2025-11-28 19:53:09,7.73,3.15,10.89,9246.8,HYD-79,CMMS-SIM
F-000027,2025-12-04 11:30:00,20251204,TR-001,CMP-ENG,Cooling issue,WO-000041,2025-12-04 13:30:01,2025-12-04 17:12:48,3.71,2.0,5.71,9279.2,ENG-99,CMMS-SIM
F-000028,2025-12-06 21:30:00,20251206,TR-001,CMP-ELE,Sensor failure,WO-000042,2025-12-07 03:36:23,2025-12-07 19:25:46,15.82,6.11,21.93,9355.7,ELE-24,CMMS-SIM
F-000029,2025-12-07 12:00:00,20251207,TR-001,CMP-HYD,Boom cylinder seal leak,WO-000043,2025-12-07 14:01:00,2025-12-07 17:38:39,3.63,2.02,5.64,9428.3,HYD-57,CMMS-SIM
F-000030,2025-12-10 19:00:00,20251210,TR-001,CMP-ELE,Sensor failure,WO-000046,2025-12-10 20:35:13,2025-12-10 21:51:26,1.27,1.59,2.86,9490.7,ELE-88,CMMS-SIM
F-000031,2025-12-17 10:30:00,20251217,TR-001,CMP-SVC,Service-related defect,WO-000052,2025-12-17 11:51:21,2025-12-17 18:44:08,6.88,1.36,8.24,9579.6,SVC-72,CMMS-SIM
F-000032,2025-12-18 08:00:00,20251218,TR-001,CMP-HYD,Valve block leak,WO-000053,2025-12-18 10:01:54,2025-12-18 20:12:39,10.18,2.03,12.21,9609.2,HYD-54,CMMS-SIM
F-000033,2025-12-27 19:30:00,20251227,TR-001,CMP-ELE,Sensor failure,WO-000057,2025-12-27 20:09:25,2025-12-27 23:53:59,3.74,0.66,4.4,9620.8,ELE-71,CMMS-SIM
F-000034,2025-12-31 19:00:00,20251231,TR-001,CMP-BRK,Brake pressure fault,WO-000059,2025-12-31 19:33:46,2026-01-01 01:28:26,5.91,0.56,6.47,9674.4,BRK-69,CMMS-SIM
F-000035,2026-01-11 17:30:00,20260111,TR-001,CMP-HYD,Hose burst,WO-000062,2026-01-11 17:52:42,2026-01-12 10:44:03,16.86,0.38,17.23,9701.1,HYD-24,CMMS-SIM
F-000036,2026-01-13 18:30:00,20260113,TR-001,CMP-TYR,Tyre change,WO-000064,2026-01-13 20:22:47,2026-01-13 23:49:27,3.44,1.88,5.32,9785.3,TYR-57,CMMS-SIM
F-000037,2026-01-16 18:00:00,20260116,TR-001,CMP-ENG,Cooling issue,WO-000067,2026-01-16 22:33:49,2026-01-17 02:02:10,3.47,4.56,8.04,9806.9,ENG-77,CMMS-SIM
F-000038,2026-01-17 23:00:00,20260117,TR-001,CMP-TYR,Sidewall damage,WO-000068,2026-01-18 02:45:11,2026-01-18 09:28:32,6.72,3.75,10.48,9844.8,TYR-26,CMMS-SIM
F-000039,2026-01-22 06:30:00,20260122,TR-001,CMP-ELE,Lighting circuit fault,WO-000072,2026-01-22 10:20:24,2026-01-22 12:49:22,2.48,3.84,6.32,9910.2,ELE-11,CMMS-SIM
F-000040,2026-01-24 12:30:00,20260124,TR-001,CMP-HYD,Hose burst,WO-000073,2026-01-24 12:36:34,2026-01-24 22:18:05,9.69,0.11,9.8,9967.4,HYD-69,CMMS-SIM
F-000041,2026-01-28 04:30:00,20260128,TR-001,CMP-ENG,Turbo fault,WO-000075,2026-01-28 06:17:47,2026-01-28 21:33:03,15.25,1.8,17.05,10004.8,ENG-11,CMMS-SIM
F-000042,2026-01-30 01:00:00,20260130,TR-001,CMP-ENG,Fuel system fault,WO-000076,2026-01-30 01:47:55,2026-01-30 04:52:47,3.08,0.8,3.88,10055.7,ENG-09,CMMS-SIM
F-000043,2026-01-30 22:00:00,20260130,TR-001,CMP-BRK,Brake pressure fault,WO-000077,2026-01-30 22:24:42,2026-01-31 07:25:24,9.01,0.41,9.42,10135.2,BRK-53,CMMS-SIM
F-000044,2026-02-01 09:00:00,20260201,TR-001,CMP-HYD,Main pump failure,WO-000079,2026-02-01 14:12:19,2026-02-01 20:19:44,6.12,5.21,11.33,10224.5,HYD-39,CMMS-SIM
F-000045,2026-02-02 12:00:00,20260202,TR-001,CMP-ELE,Starter fault,WO-000081,2026-02-02 13:12:06,2026-02-02 19:36:01,6.4,1.2,7.6,10263.4,ELE-97,CMMS-SIM
F-000046,2026-02-20 09:30:00,20260220,TR-001,CMP-HYD,Valve block leak,WO-000086,2026-02-20 11:38:15,2026-02-20 20:06:55,8.48,2.14,10.62,10326.3,HYD-26,CMMS-SIM
F-000047,2026-02-22 21:30:00,20260222,TR-001,CMP-BRK,Brake pressure fault,WO-000088,2026-02-23 01:16:51,2026-02-23 03:48:59,2.54,3.78,6.32,10395.2,BRK-11,CMMS-SIM
F-000048,2026-02-25 18:00:00,20260225,TR-001,CMP-ELE,Harness damage,WO-000090,2026-02-25 21:51:01,2026-02-26 16:15:07,18.4,3.85,22.25,10433.3,ELE-13,CMMS-SIM
F-000049,2026-03-02 06:00:00,20260302,TR-001,CMP-HYD,Main pump failure,WO-000093,2026-03-02 06:46:06,2026-03-02 10:40:14,3.9,0.77,4.67,10474.0,HYD-40,CMMS-SIM
F-000050,2026-03-03 19:30:00,20260303,TR-001,CMP-TRN,Torque converter issue,WO-000094,2026-03-03 19:31:39,2026-03-04 03:44:10,8.21,0.03,8.24,10504.3,TRN-89,CMMS-SIM
F-000051,2026-03-06 02:00:00,20260306,TR-001,CMP-HYD,Main pump failure,WO-000095,2026-03-06 03:03:01,2026-03-06 06:55:00,3.87,1.05,4.92,10527.8,HYD-87,CMMS-SIM
F-000052,2026-03-07 14:30:00,20260307,TR-001,CMP-ELE,Sensor failure,WO-000096,2026-03-07 14:34:28,2026-03-07 17:54:24,3.33,0.07,3.41,10548.8,ELE-37,CMMS-SIM
F-000053,2026-03-20 07:30:00,20260320,TR-001,CMP-HYD,Valve block leak,WO-000100,2026-03-20 09:09:33,2026-03-20 13:22:26,4.21,1.66,5.87,10611.0,HYD-51,CMMS-SIM
F-000054,2026-03-26 16:00:00,20260326,TR-001,CMP-HYD,Valve block leak,WO-000101,2026-03-26 16:22:05,2026-03-26 23:29:50,7.13,0.37,7.5,10627.1,HYD-34,CMMS-SIM
F-000055,2026-04-01 16:00:00,20260401,TR-001,CMP-HYD,Boom cylinder seal leak,WO-000103,2026-04-01 20:38:13,2026-04-02 04:15:09,7.62,4.64,12.25,10682.6,HYD-49,CMMS-SIM
F-000056,2026-04-05 03:30:00,20260405,TR-001,CMP-ENG,Turbo fault,WO-000106,2026-04-05 03:49:05,2026-04-05 04:48:58,1.0,0.32,1.32,10710.3,ENG-71,CMMS-SIM
F-000057,2026-04-05 20:00:00,20260405,TR-001,CMP-TYR,Tyre change,WO-000107,2026-04-05 23:16:48,2026-04-06 04:28:18,5.19,3.28,8.47,10770.5,TYR-78,CMMS-SIM
F-000058,2026-04-15 09:30:00,20260415,TR-001,CMP-HYD,Valve block leak,WO-000110,2026-04-15 10:33:49,2026-04-15 14:29:43,3.93,1.06,5.0,10850.8,HYD-02,CMMS-SIM
F-000059,2026-04-16 00:00:00,20260416,TR-001,CMP-ELE,Lighting circuit fault,WO-000111,2026-04-16 00:41:14,2026-04-16 06:28:51,5.79,0.69,6.48,10920.2,ELE-93,CMMS-SIM
F-000060,2026-04-18 18:30:00,20260418,TR-001,CMP-ENG,Turbo fault,WO-000112,2026-04-18 20:01:13,2026-04-19 03:48:48,7.79,1.52,9.31,10962.5,ENG-70,CMMS-SIM
F-000061,2026-04-23 02:00:00,20260423,TR-001,CMP-ELE,Starter fault,WO-000115,2026-04-23 04:06:21,2026-04-23 07:17:35,3.19,2.11,5.29,10975.6,ELE-44,CMMS-SIM
F-000062,2026-05-01 03:30:00,20260501,TR-001,CMP-ELE,Harness damage,WO-000116,2026-05-01 04:21:40,2026-05-01 06:52:42,2.52,0.86,3.38,11044.5,ELE-06,CMMS-SIM
F-000063,2026-05-07 00:30:00,20260507,TR-001,CMP-ELE,Lighting circuit fault,WO-000121,2026-05-07 01:58:32,2026-05-07 13:15:24,11.28,1.48,12.76,11094.0,ELE-89,CMMS-SIM
F-000064,2026-05-12 05:00:00,20260512,TR-001,CMP-ENG,Fuel system fault,WO-000123,2026-05-12 05:36:55,2026-05-12 11:30:57,5.9,0.62,6.52,11177.9,ENG-49,CMMS-SIM
F-000065,2026-05-12 21:30:00,20260512,TR-001,CMP-BRK,Brake pressure fault,WO-000124,2026-05-12 22:11:19,2026-05-13 06:17:10,8.1,0.69,8.79,11205.0,BRK-30,CMMS-SIM
F-000066,2026-05-18 20:00:00,20260518,TR-001,CMP-ELE,Lighting circuit fault,WO-000126,2026-05-18 21:11:01,2026-05-19 00:20:26,3.16,1.18,4.34,11267.9,ELE-49,CMMS-SIM
F-000067,2026-05-20 07:30:00,20260520,TR-001,CMP-HYD,Main pump failure,WO-000127,2026-05-20 09:52:43,2026-05-20 13:27:24,3.58,2.38,5.96,11286.9,HYD-50,CMMS-SIM
F-000068,2026-05-29 17:30:00,20260529,TR-001,CMP-HYD,Main pump failure,WO-000129,2026-05-29 17:47:44,2026-05-29 20:54:20,3.11,0.3,3.41,11324.0,HYD-86,CMMS-SIM
F-000069,2026-05-30 14:00:00,20260530,TR-001,CMP-HYD,Main pump failure,WO-000130,2026-05-30 17:24:27,2026-05-30 22:59:01,5.58,3.41,8.98,11378.7,HYD-83,CMMS-SIM
F-000070,2026-05-31 03:30:00,20260531,TR-001,CMP-TYR,Track tension failure,WO-000131,2026-05-31 05:34:30,2026-05-31 07:10:49,1.61,2.08,3.68,11464.2,TYR-92,CMMS-SIM
F-000071,2026-06-04 11:30:00,20260604,TR-001,CMP-HYD,Boom cylinder seal leak,WO-000132,2026-06-04 11:48:58,2026-06-04 21:17:55,9.48,0.32,9.8,11516.4,HYD-41,CMMS-SIM
F-000072,2026-06-07 10:30:00,20260607,TR-001,CMP-HYD,Valve block leak,WO-000133,2026-06-07 11:22:34,2026-06-07 16:54:52,5.54,0.88,6.41,11536.5,HYD-16,CMMS-SIM
F-000073,2026-06-10 17:00:00,20260610,TR-001,CMP-ELE,Sensor failure,WO-000135,2026-06-10 22:42:20,2026-06-11 06:55:02,8.21,5.71,13.92,11552.0,ELE-90,CMMS-SIM
F-000074,2026-06-15 08:30:00,20260615,TR-001,CMP-HYD,Main pump failure,WO-000137,2026-06-15 09:48:54,2026-06-15 13:33:52,3.75,1.32,5.06,11569.8,HYD-39,CMMS-SIM
F-000075,2026-07-01 17:00:00,20260701,TR-001,CMP-ELE,Sensor failure,WO-000143,2026-07-01 18:20:47,2026-07-01 22:51:41,4.51,1.35,5.86,11623.3,ELE-39,CMMS-SIM
F-000076,2026-07-06 11:30:00,20260706,TR-001,CMP-ELE,Sensor failure,WO-000145,2026-07-06 15:24:07,2026-07-06 17:34:23,2.17,3.9,6.07,11705.5,ELE-23,CMMS-SIM
F-000077,2026-07-10 16:00:00,20260710,TR-001,CMP-HYD,Valve block leak,WO-000146,2026-07-10 16:25:27,2026-07-10 22:42:51,6.29,0.42,6.71,11760.5,HYD-09,CMMS-SIM
F-000078,2026-07-14 01:00:00,20260714,TR-001,CMP-BRK,Brake pressure fault,WO-000148,2026-07-14 02:10:08,2026-07-14 06:17:39,4.13,1.17,5.29,11815.8,BRK-15,CMMS-SIM
F-000079,2026-07-16 20:30:00,20260716,TR-001,CMP-TYR,Sidewall damage,WO-000150,2026-07-16 20:45:54,2026-07-17 03:05:18,6.32,0.27,6.59,11892.7,TYR-80,CMMS-SIM
F-000080,2026-07-28 12:30:00,20260728,TR-001,CMP-STR,Frame repair,WO-000151,2026-07-28 16:12:37,2026-07-29 07:03:28,14.85,3.71,18.56,11958.2,STR-31,CMMS-SIM
F-000081,2026-08-16 16:00:00,20260816,TR-001,CMP-TYR,Tyre change,WO-000154,2026-08-16 17:27:21,2026-08-16 20:41:26,3.23,1.46,4.69,11981.4,TYR-13,CMMS-SIM
F-000082,2026-08-24 09:00:00,20260824,TR-001,CMP-TRN,Torque converter issue,WO-000156,2026-08-24 10:21:49,2026-08-24 14:13:27,3.86,1.36,5.22,12025.5,TRN-06,CMMS-SIM
F-000083,2026-08-26 09:00:00,20260826,TR-001,CMP-HYD,Boom cylinder seal leak,WO-000159,2026-08-26 09:49:49,2026-08-26 10:56:28,1.11,0.83,1.94,12067.8,HYD-21,CMMS-SIM
F-000084,2025-10-04 02:30:00,20251004,TR-002,CMP-HYD,Main pump failure,WO-000163,2025-10-04 04:43:00,2025-10-04 15:22:53,10.66,2.22,12.88,8051.4,HYD-92,CMMS-SIM
F-000085,2025-10-04 17:00:00,20251004,TR-002,CMP-HYD,Boom cylinder seal leak,WO-000164,2025-10-04 18:25:19,2025-10-05 01:05:17,6.67,1.42,8.09,8114.6,HYD-30,CMMS-SIM
F-000086,2025-10-07 05:00:00,20251007,TR-002,CMP-HYD,Boom cylinder seal leak,WO-000165,2025-10-07 08:05:24,2025-10-07 19:29:21,11.4,3.09,14.49,8175.4,HYD-14,CMMS-SIM
F-000087,2025-10-11 08:00:00,20251011,TR-002,CMP-HYD,Boom cylinder seal leak,WO-000169,2025-10-11 08:19:52,2025-10-11 20:53:46,12.57,0.33,12.9,8255.9,HYD-75,CMMS-SIM
F-000088,2025-10-15 00:00:00,20251015,TR-002,CMP-ELE,Lighting circuit fault,WO-000173,2025-10-15 00:47:06,2025-10-15 02:09:04,1.37,0.79,2.15,8342.3,ELE-02,CMMS-SIM
F-000089,2025-10-19 04:30:00,20251019,TR-002,CMP-ELE,Starter fault,WO-000178,2025-10-19 07:49:18,2025-10-19 14:44:46,6.92,3.32,10.25,8352.6,ELE-63,CMMS-SIM
F-000090,2025-10-21 10:00:00,20251021,TR-002,CMP-TYR,Track tension failure,WO-000179,2025-10-21 11:39:30,2025-10-21 13:44:27,2.08,1.66,3.74,8393.9,TYR-24,CMMS-SIM
F-000091,2025-10-22 16:00:00,20251022,TR-002,CMP-ELE,Lighting circuit fault,WO-000180,2025-10-22 16:57:00,2025-10-22 21:29:10,4.54,0.95,5.49,8448.1,ELE-42,CMMS-SIM
F-000092,2025-10-25 10:00:00,20251025,TR-002,CMP-HYD,Hose burst,WO-000183,2025-10-25 11:17:08,2025-10-25 15:07:49,3.84,1.29,5.13,8511.2,HYD-96,CMMS-SIM
F-000093,2025-10-29 06:00:00,20251029,TR-002,CMP-ELE,Sensor failure,WO-000185,2025-10-29 09:31:58,2025-10-29 11:50:00,2.3,3.53,5.83,8541.7,ELE-76,CMMS-SIM
F-000094,2025-10-30 18:00:00,20251030,TR-002,CMP-HYD,Valve block leak,WO-000186,2025-10-30 22:13:13,2025-10-31 08:37:22,10.4,4.22,14.62,8624.7,HYD-63,CMMS-SIM
F-000095,2025-11-01 10:30:00,20251101,TR-002,CMP-ELE,Starter fault,WO-000187,2025-11-01 13:17:25,2025-11-01 15:25:54,2.14,2.79,4.93,8653.8,ELE-76,CMMS-SIM
F-000096,2025-11-04 13:00:00,20251104,TR-002,CMP-HYD,Main pump failure,WO-000191,2025-11-04 13:35:19,2025-11-04 20:05:03,6.5,0.59,7.08,8725.1,HYD-89,CMMS-SIM
F-000097,2025-11-07 11:00:00,20251107,TR-002,CMP-ELE,Harness damage,WO-000193,2025-11-07 12:24:19,2025-11-07 18:53:34,6.49,1.41,7.89,8768.6,ELE-06,CMMS-SIM
F-000098,2025-11-08 23:30:00,20251108,TR-002,CMP-BRK,Brake pressure fault,WO-000194,2025-11-09 00:28:15,2025-11-09 05:52:44,5.41,0.97,6.38,8791.8,BRK-52,CMMS-SIM
F-000099,2025-11-09 09:00:00,20251109,TR-002,CMP-ELE,Lighting circuit fault,WO-000195,2025-11-09 11:09:40,2025-11-09 18:19:04,7.16,2.16,9.32,8837.0,ELE-16,CMMS-SIM
F-000100,2025-11-15 20:30:00,20251115,TR-002,CMP-OTH,Other mechanical fault,WO-000196,2025-11-15 21:56:44,2025-11-16 02:42:04,4.76,1.45,6.2,8870.2,OTH-01,CMMS-SIM
F-000101,2025-11-18 09:30:00,20251118,TR-002,CMP-HYD,Hose burst,WO-000198,2025-11-18 09:54:56,2025-11-18 11:40:38,1.76,0.42,2.18,8915.5,HYD-38,CMMS-SIM
F-000102,2025-11-23 22:00:00,20251123,TR-002,CMP-HYD,Hose burst,WO-000199,2025-11-24 01:15:57,2025-11-24 05:07:51,3.86,3.27,7.13,8977.8,HYD-89,CMMS-SIM
F-000103,2025-12-01 13:00:00,20251201,TR-002,CMP-HYD,Main pump failure,WO-000203,2025-12-01 16:01:12,2025-12-01 20:48:37,4.79,3.02,7.81,9015.9,HYD-82,CMMS-SIM
F-000104,2025-12-05 17:00:00,20251205,TR-002,CMP-TRN,Transmission shift fault,WO-000205,2025-12-05 17:16:27,2025-12-06 01:07:32,7.85,0.27,8.13,9059.6,TRN-42,CMMS-SIM
F-000105,2025-12-06 01:30:00,20251206,TR-002,CMP-BRK,Brake wear alarm,WO-000206,2025-12-06 03:25:14,2025-12-06 07:18:18,3.88,1.92,5.81,9091.6,BRK-81,CMMS-SIM
F-000106,2025-12-09 01:30:00,20251209,TR-002,CMP-HYD,Hose burst,WO-000209,2025-12-09 03:51:00,2025-12-09 14:29:49,10.65,2.35,13.0,9148.0,HYD-12,CMMS-SIM
F-000107,2025-12-10 00:00:00,20251210,TR-002,CMP-ELE,Harness damage,WO-000211,2025-12-10 01:38:39,2025-12-10 09:57:09,8.31,1.64,9.95,9162.1,ELE-96,CMMS-SIM
F-000108,2025-12-15 22:30:00,20251215,TR-002,CMP-HYD,Valve block leak,WO-000215,2025-12-16 00:09:20,2025-12-16 03:22:45,3.22,1.66,4.88,9244.0,HYD-11,CMMS-SIM
F-000109,2025-12-17 11:00:00,20251217,TR-002,CMP-ELE,Lighting circuit fault,WO-000217,2025-12-17 12:56:46,2025-12-17 16:01:43,3.08,1.95,5.03,9292.1,ELE-46,CMMS-SIM
F-000110,2025-12-17 17:00:00,20251217,TR-002,CMP-TRN,Transmission shift fault,WO-000218,2025-12-17 17:11:09,2025-12-17 18:20:31,1.16,0.19,1.34,9352.0,TRN-26,CMMS-SIM
F-000111,2025-12-18 20:00:00,20251218,TR-002,CMP-ELE,Starter fault,WO-000220,2025-12-18 21:25:26,2025-12-19 06:03:50,8.64,1.42,10.06,9400.3,ELE-93,CMMS-SIM
F-000112,2025-12-19 02:00:00,20251219,TR-002,CMP-OTH,Other mechanical fault,WO-000221,2025-12-19 04:30:57,2025-12-19 08:19:36,3.81,2.52,6.33,9425.3,OTH-31,CMMS-SIM
F-000113,2025-12-25 08:30:00,20251225,TR-002,CMP-ELE,Lighting circuit fault,WO-000226,2025-12-25 09:21:27,2025-12-25 12:00:56,2.66,0.86,3.52,9484.2,ELE-57,CMMS-SIM
F-000114,2025-12-28 23:00:00,20251228,TR-002,CMP-HYD,Hose burst,WO-000228,2025-12-29 00:55:31,2025-12-29 04:26:28,3.52,1.93,5.44,9549.1,HYD-59,CMMS-SIM
F-000115,2025-12-30 12:00:00,20251230,TR-002,CMP-HYD,Hose burst,WO-000229,2025-12-30 13:01:42,2025-12-30 14:34:07,1.54,1.03,2.57,9572.2,HYD-46,CMMS-SIM
F-000116,2026-01-08 21:30:00,20260108,TR-002,CMP-HYD,Main pump failure,WO-000234,2026-01-08 21:55:56,2026-01-09 08:51:43,10.93,0.43,11.36,9584.5,HYD-94,CMMS-SIM
F-000117,2026-01-12 18:30:00,20260112,TR-002,CMP-ELE,Starter fault,WO-000235,2026-01-12 19:10:38,2026-01-12 21:59:45,2.82,0.68,3.5,9628.2,ELE-16,CMMS-SIM
F-000118,2026-01-13 17:30:00,20260113,TR-002,CMP-ELE,Harness damage,WO-000236,2026-01-13 19:33:03,2026-01-14 00:09:04,4.6,2.05,6.65,9648.0,ELE-69,CMMS-SIM
F-000119,2026-01-15 00:30:00,20260115,TR-002,CMP-HYD,Boom cylinder seal leak,WO-000237,2026-01-15 01:35:06,2026-01-15 07:02:11,5.45,1.09,6.54,9699.2,HYD-18,CMMS-SIM
F-000120,2026-01-21 02:30:00,20260121,TR-002,CMP-SVC,Service-related defect,WO-000238,2026-01-21 03:27:57,2026-01-21 06:02:33,2.58,0.97,3.54,9729.5,SVC-63,CMMS-SIM
F-000121,2026-02-04 18:00:00,20260204,TR-002,CMP-ELE,Harness damage,WO-000244,2026-02-04 18:25:50,2026-02-05 08:56:00,14.5,0.43,14.93,9766.4,ELE-60,CMMS-SIM
F-000122,2026-02-09 23:00:00,20260209,TR-002,CMP-ELE,Harness damage,WO-000245,2026-02-10 00:41:40,2026-02-10 02:31:29,1.83,1.69,3.52,9803.6,ELE-67,CMMS-SIM
F-000123,2026-02-10 14:30:00,20260210,TR-002,CMP-TYR,Track tension failure,WO-000246,2026-02-10 15:29:31,2026-02-10 17:07:53,1.64,0.99,2.63,9854.8,TYR-11,CMMS-SIM
F-000124,2026-02-13 19:00:00,20260213,TR-002,CMP-HYD,Valve block leak,WO-000247,2026-02-14 00:55:38,2026-02-14 03:38:30,2.71,5.93,8.64,9878.5,HYD-70,CMMS-SIM
F-000125,2026-02-15 04:00:00,20260215,TR-002,CMP-BRK,Brake wear alarm,WO-000248,2026-02-15 04:34:15,2026-02-15 09:35:33,5.02,0.57,5.59,9934.6,BRK-59,CMMS-SIM
F-000126,2026-02-17 21:00:00,20260217,TR-002,CMP-HYD,Boom cylinder seal leak,WO-000249,2026-02-17 21:35:56,2026-02-18 01:48:16,4.21,0.6,4.8,9975.3,HYD-76,CMMS-SIM
F-000127,2026-02-18 04:00:00,20260218,TR-002,CMP-HYD,Main pump failure,WO-000250,2026-02-18 08:20:30,2026-02-18 14:38:27,6.3,4.34,10.64,10055.6,HYD-84,CMMS-SIM
F-000128,2026-02-18 11:30:00,20260218,TR-002,CMP-HYD,Hose burst,WO-000251,2026-02-18 15:54:57,2026-02-19 01:04:22,9.16,4.42,13.57,10117.6,HYD-87,CMMS-SIM
F-000129,2026-03-07 23:00:00,20260307,TR-002,CMP-HYD,Boom cylinder seal leak,WO-000257,2026-03-08 00:27:09,2026-03-08 04:58:44,4.53,1.45,5.98,10150.5,HYD-29,CMMS-SIM
