RosterRecordID,DateKey,ShiftKey,UnitCode,CrewName,OperatorAssigned,OperatorSkillIndex,PlannedAreaID,SourceSystem
RR-0000030,20251001,DAY-A,BT-004,Day A,1,0.774,A03,Roster-SIM
RR-0000031,20251001,DAY-A,BT-005,Day A,1,0.866,A03,Roster-SIM
RR-0000032,20251001,DAY-A,BT-006,Day A,1,0.783,A03,Roster-SIM
RR-0000033,20251001,DAY-A,UV-001,Day A,1,0.747,A04,Roster-SIM
RR-0000034,20251001,DAY-A,UV-002,Day A,1,0.778,A04,Roster-SIM
RR-0000035,20251001,DAY-A,UV-003,Day A,1,0.862,A04,Roster-SIM
RR-0000036,20251001,DAY-A,UV-004,Day A,1,0.797,A04,Roster-SIM
RR-0000037,20251001,NIGHT-B,TR-001,Night B,0,0.871,A01,Roster-SIM
RR-0000038,20251001,NIGHT-B,TR-002,Night B,1,0.732,A01,Roster-SIM
RR-0000039,20251001,NIGHT-B,TR-003,Night B,1,0.777,A01,Roster-SIM
RR-0000040,20251001,NIGHT-B,TR-004,Night B,1,0.862,A01,Roster-SIM
RR-0000041,20251001,NIGHT-B,TR-005,Night B,1,0.645,A01,Roster-SIM
RR-0000042,20251001,NIGHT-B,TR-006,Night B,1,0.822,A01,Roster-SIM
RR-0000043,20251001,NIGHT-B,TR-007,Night B,1,0.796,A01,Roster-SIM
RR-0000044,20251001,NIGHT-B,TR-008,Night B,1,0.678,A01,Roster-SIM
RR-0000045,20251001,NIGHT-B,TR-009,Night B,0,0.86,A01,Roster-SIM
RR-0000046,20251001,NIGHT-B,TR-010,Night B,1,0.774,A01,Roster-SIM
RR-0000047,20251001,NIGHT-B,TR-011,Night B,1,0.78,A01,Roster-SIM
RR-0000048,20251001,NIGHT-B,TR-012,Night B,1,0.882,A01,Roster-SIM
RR-0000049,20251001,NIGHT-B,LH-001,Night B,1,0.7,A01,Roster-SIM
RR-0000050,20251001,NIGHT-B,LH-002,Night B,1,0.679,A01,Roster-SIM
RR-0000051,20251001,NIGHT-B,LH-003,Night B,1,0.825,A01,Roster-SIM
RR-0000052,20251001,NIGHT-B,LH-004,Night B,1,0.68,A01,Roster-SIM
RR-0000053,20251001,NIGHT-B,LH-005,Night B,0,0.733,A01,Roster-SIM
RR-0000054,20251001,NIGHT-B,LH-006,Night B,1,0.763,A01,Roster-SIM
RR-0000055,20251001,NIGHT-B,LH-007,Night B,1,0.814,A01,Roster-SIM
RR-0000056,20251001,NIGHT-B,LH-008,Night B,0,0.954,A01,Roster-SIM
RR-0000057,20251001,NIGHT-B,JD-001,Night B,1,0.841,A02,Roster-SIM
RR-0000058,20251001,NIGHT-B,JD-002,Night B,0,0.662,A02,Roster-SIM
RR-0000059,20251001,NIGHT-B,JD-003,Night B,1,0.761,A02,Roster-SIM
RR-0000060,20251001,NIGHT-B,JD-004,Night B,0,0.78,A02,Roster-SIM
RR-0000061,20251001,NIGHT-B,JD-005,Night B,0,0.727,A02,Roster-SIM
RR-0000062,20251001,NIGHT-B,JD-006,Night B,1,0.691,A02,Roster-SIM
RR-0000063,20251001,NIGHT-B,BT-001,Night B,1,0.818,A03,Roster-SIM
RR-0000064,20251001,NIGHT-B,BT-002,Night B,1,0.684,A03,Roster-SIM
RR-0000065,20251001,NIGHT-B,BT-003,Night B,1,0.819,A03,Roster-SIM
RR-0000066,20251001,NIGHT-B,BT-004,Night B,0,0.73,A03,Roster-SIM
RR-0000067,20251001,NIGHT-B,BT-005,Night B,0,0.679,A03,Roster-SIM
RR-0000068,20251001,NIGHT-B,BT-006,Night B,1,0.785,A03,Roster-SIM
RR-0000069,20251001,NIGHT-B,UV-001,Night B,1,0.734,A04,Roster-SIM
RR-0000070,20251001,NIGHT-B,UV-002,Night B,1,0.737,A04,Roster-SIM
RR-0000071,20251001,NIGHT-B,UV-003,Night B,1,0.607,A04,Roster-SIM
RR-0000072,20251001,NIGHT-B,UV-004,Night B,0,0.632,A04,Roster-SIM
RR-0000073,20251002,DAY-A,TR-001,Day A,1,0.792,A01,Roster-SIM
RR-0000074,20251002,DAY-A,TR-002,Day A,1,0.634,A01,Roster-SIM
RR-0000075,20251002,DAY-A,TR-003,Day A,1,0.839,A01,Roster-SIM
RR-0000076,20251002,DAY-A,TR-004,Day A,1,0.706,A01,Roster-SIM
RR-0000077,20251002,DAY-A,TR-005,Day A,1,0.764,A01,Roster-SIM
RR-0000078,20251002,DAY-A,TR-006,Day A,1,0.881,A01,Roster-SIM
RR-0000079,20251002,DAY-A,TR-007,Day A,1,0.677,A01,Roster-SIM
RR-0000080,20251002,DAY-A,TR-008,Day A,1,0.843,A01,Roster-SIM
RR-0000081,20251002,DAY-A,TR-009,Day A,1,0.943,A01,Roster-SIM
RR-0000082,20251002,DAY-A,TR-010,Day A,1,0.936,A01,Roster-SIM
RR-0000083,20251002,DAY-A,TR-011,Day A,1,0.772,A01,Roster-SIM
RR-0000084,20251002,DAY-A,TR-012,Day A,1,0.815,A01,Roster-SIM
RR-0000085,20251002,DAY-A,LH-001,Day A,1,0.997,A01,Roster-SIM
RR-0000086,20251002,DAY-A,LH-002,Day A,1,0.819,A01,Roster-SIM
RR-0000087,20251002,DAY-A,LH-003,Day A,1,0.831,A01,Roster-SIM
RR-0000088,20251002,DAY-A,LH-004,Day A,1,0.798,A01,Roster-SIM
RR-0000089,20251002,DAY-A,LH-005,Day A,1,0.824,A01,Roster-SIM
RR-0000090,20251002,DAY-A,LH-006,Day A,1,0.794,A01,Roster-SIM
RR-0000091,20251002,DAY-A,LH-007,Day A,1,0.7,A01,Roster-SIM
RR-0000092,20251002,DAY-A,LH-008,Day A,0,0.892,A01,Roster-SIM
RR-0000093,20251002,DAY-A,JD-001,Day A,0,0.88,A02,Roster-SIM
RR-0000094,20251002,DAY-A,JD-002,Day A,1,0.909,A02,Roster-SIM
RR-0000095,20251002,DAY-A,JD-003,Day A,1,0.758,A02,Roster-SIM
RR-0000096,20251002,DAY-A,JD-004,Day A,1,0.851,A02,Roster-SIM
RR-0000097,20251002,DAY-A,JD-005,Day A,1,0.888,A02,Roster-SIM
RR-0000098,20251002,DAY-A,JD-006,Day A,1,0.891,A02,Roster-SIM
RR-0000099,20251002,DAY-A,BT-001,Day A,1,0.872,A03,Roster-SIM
RR-0000100,20251002,DAY-A,BT-002,Day A,1,0.876,A03,Roster-SIM
RR-0000101,20251002,DAY-A,BT-003,Day A,1,0.87,A03,Roster-SIM
RR-0000102,20251002,DAY-A,BT-004,Day A,1,0.849,A03,Roster-SIM
RR-0000103,20251002,DAY-A,BT-005,Day A,1,0.771,A03,Roster-SIM
RR-0000104,20251002,DAY-A,BT-006,Day A,1,0.717,A03,Roster-SIM
RR-0000105,20251002,DAY-A,UV-001,Day A,1,0.874,A04,Roster-SIM
RR-0000106,20251002,DAY-A,UV-002,Day A,1,0.776,A04,Roster-SIM
RR-0000107,20251002,DAY-A,UV-003,Day A,1,0.866,A04,Roster-SIM
RR-0000108,20251002,DAY-A,UV-004,Day A,1,0.808,A04,Roster-SIM
RR-0000109,20251002,NIGHT-B,TR-001,Night B,1,0.792,A01,Roster-SIM
RR-0000110,20251002,NIGHT-B,TR-002,Night B,1,0.911,A01,Roster-SIM
RR-0000111,20251002,NIGHT-B,TR-003,Night B,1,0.696,A01,Roster-SIM
RR-0000112,20251002,NIGHT-B,TR-004,Night B,1,0.755,A01,Roster-SIM
RR-0000113,20251002,NIGHT-B,TR-005,Night B,1,0.919,A01,Roster-SIM
RR-0000114,20251002,NIGHT-B,TR-006,Night B,1,0.726,A01,Roster-SIM
RR-0000115,20251002,NIGHT-B,TR-007,Night B,0,0.808,A01,Roster-SIM
RR-0000116,20251002,NIGHT-B,TR-008,Night B,1,0.765,A01,Roster-SIM
RR-0000117,20251002,NIGHT-B,TR-009,Night B,1,0.891,A01,Roster-SIM
RR-0000118,20251002,NIGHT-B,TR-010,Night B,1,0.836,A01,Roster-SIM
RR-0000119,20251002,NIGHT-B,TR-011,Night B,1,0.754,A01,Roster-SIM
RR-0000120,20251002,NIGHT-B,TR-012,Night B,1,0.686,A01,Roster-SIM
RR-0000121,20251002,NIGHT-B,LH-001,Night B,1,0.727,A01,Roster-SIM
RR-0000122,20251002,NIGHT-B,LH-002,Night B,1,0.698,A01,Roster-SIM
RR-0000123,20251002,NIGHT-B,LH-003,Night B,1,0.681,A01,Roster-SIM
RR-0000124,20251002,NIGHT-B,LH-004,Night B,0,0.901,A01,Roster-SIM
RR-0000125,20251002,NIGHT-B,LH-005,Night B,0,0.828,A01,Roster-SIM
RR-0000126,20251002,NIGHT-B,LH-006,Night B,1,0.731,A01,Roster-SIM
RR-0000127,20251002,NIGHT-B,LH-007,Night B,1,0.704,A01,Roster-SIM
RR-0000128,20251002,NIGHT-B,LH-008,Night B,0,0.779,A01,Roster-SIM
RR-0000129,20251002,NIGHT-B,JD-001,Night B,1,0.779,A02,Roster-SIM
RR-0000130,20251002,NIGHT-B,JD-002,Night B,1,0.743,A02,Roster-SIM
RR-0000131,20251002,NIGHT-B,JD-003,Night B,1,0.731,A02,Roster-SIM
RR-0000132,20251002,NIGHT-B,JD-004,Night B,1,0.689,A02,Roster-SIM
RR-0000133,20251002,NIGHT-B,JD-005,Night B,1,0.586,A02,Roster-SIM
RR-0000134,20251002,NIGHT-B,JD-006,Night B,1,0.805,A02,Roster-SIM
RR-0000135,20251002,NIGHT-B,BT-001,Night B,0,0.821,A03,Roster-SIM
RR-0000136,20251002,NIGHT-B,BT-002,Night B,0,0.746,A03,Roster-SIM
RR-0000137,20251002,NIGHT-B,BT-003,Night B,0,0.68,A03,Roster-SIM
RR-0000138,20251002,NIGHT-B,BT-004,Night B,1,0.821,A03,Roster-SIM
RR-0000139,20251002,NIGHT-B,BT-005,Night B,1,0.613,A03,Roster-SIM
RR-0000140,20251002,NIGHT-B,BT-006,Night B,1,0.75,A03,Roster-SIM
RR-0000141,20251002,NIGHT-B,UV-001,Night B,1,0.813,A04,Roster-SIM
RR-0000142,20251002,NIGHT-B,UV-002,Night B,1,0.781,A04,Roster-SIM
RR-0000143,20251002,NIGHT-B,UV-003,Night B,1,0.786,A04,Roster-SIM
RR-0000144,20251002,NIGHT-B,UV-004,Night B,1,0.893,A04,Roster-SIM
RR-0000145,20251003,DAY-A,TR-001,Day A,1,0.713,A01,Roster-SIM
RR-0000146,20251003,DAY-A,TR-002,Day A,1,0.575,A01,Roster-SIM
RR-0000147,20251003,DAY-A,TR-003,Day A,1,0.808,A01,Roster-SIM
RR-0000148,20251003,DAY-A,TR-004,Day A,1,0.972,A01,Roster-SIM
RR-0000149,20251003,DAY-A,TR-005,Day A,1,0.876,A01,Roster-SIM
RR-0000150,20251003,DAY-A,TR-006,Day A,1,0.915,A01,Roster-SIM
RR-0000151,20251003,DAY-A,TR-007,Day A,1,0.684,A01,Roster-SIM
RR-0000152,20251003,DAY-A,TR-008,Day A,1,0.84,A01,Roster-SIM
RR-0000153,20251003,DAY-A,TR-009,Day A,1,0.733,A01,Roster-SIM
RR-0000154,20251003,DAY-A,TR-010,Day A,1,0.672,A01,Roster-SIM
RR-0000155,20251003,DAY-A,TR-011,Day A,1,1.0,A01,Roster-SIM
RR-0000156,20251003,DAY-A,TR-012,Day A,1,0.92,A01,Roster-SIM
RR-0000157,20251003,DAY-A,LH-001,Day A,1,0.844,A01,Roster-SIM
RR-0000158,20251003,DAY-A,LH-002,Day A,1,0.845,A01,Roster-SIM
RR-0000159,20251003,DAY-A,LH-003,Day A,1,0.728,A01,Roster-SIM
RR-0000160,20251003,DAY-A,LH-004,Day A,1,0.823,A01,Roster-SIM
RR-0000161,20251003,DAY-A,LH-005,Day A,1,0.968,A01,Roster-SIM
RR-0000162,20251003,DAY-A,LH-006,Day A,1,0.839,A01,Roster-SIM
RR-0000163,20251003,DAY-A,LH-007,Day A,1,0.663,A01,Roster-SIM
RR-0000164,20251003,DAY-A,LH-008,Day A,1,0.858,A01,Roster-SIM
RR-0000165,20251003,DAY-A,JD-001,Day A,1,0.734,A02,Roster-SIM
RR-0000166,20251003,DAY-A,JD-002,Day A,1,0.9,A02,Roster-SIM
RR-0000167,20251003,DAY-A,JD-003,Day A,1,0.877,A02,Roster-SIM
RR-0000168,20251003,DAY-A,JD-004,Day A,1,0.614,A02,Roster-SIM
RR-0000169,20251003,DAY-A,JD-005,Day A,1,0.726,A02,Roster-SIM
RR-0000170,20251003,DAY-A,JD-006,Day A,1,0.746,A02,Roster-SIM
RR-0000171,20251003,DAY-A,BT-001,Day A,1,0.76,A03,Roster-SIM
RR-0000172,20251003,DAY-A,BT-002,Day A,1,0.88,A03,Roster-SIM
RR-0000173,20251003,DAY-A,BT-003,Day A,1,0.769,A03,Roster-SIM
RR-0000174,20251003,DAY-A,BT-004,Day A,1,0.797,A03,Roster-SIM
RR-0000175,20251003,DAY-A,BT-005,Day A,1,0.884,A03,Roster-SIM
RR-0000176,20251003,DAY-A,BT-006,Day A,1,0.932,A03,Roster-SIM
RR-0000177,20251003,DAY-A,UV-001,Day A,1,0.705,A04,Roster-SIM
RR-0000178,20251003,DAY-A,UV-002,Day A,1,0.925,A04,Roster-SIM
RR-0000179,20251003,DAY-A,UV-003,Day A,1,0.723,A04,Roster-SIM
RR-0000180,20251003,DAY-A,UV-004,Day A,1,0.809,A04,Roster-SIM
RR-0000181,20251003,NIGHT-B,TR-001,Night B,1,0.793,A01,Roster-SIM
RR-0000182,20251003,NIGHT-B,TR-002,Night B,1,0.865,A01,Roster-SIM
RR-0000183,20251003,NIGHT-B,TR-003,Night B,0,0.788,A01,Roster-SIM
RR-0000184,20251003,NIGHT-B,TR-004,Night B,1,0.818,A01,Roster-SIM
RR-0000185,20251003,NIGHT-B,TR-005,Night B,1,0.804,A01,Roster-SIM
RR-0000186,20251003,NIGHT-B,TR-006,Night B,1,0.878,A01,Roster-SIM
RR-0000187,20251003,NIGHT-B,TR-007,Night B,1,0.804,A01,Roster-SIM
RR-0000188,20251003,NIGHT-B,TR-008,Night B,1,0.742,A01,Roster-SIM
RR-0000189,20251003,NIGHT-B,TR-009,Night B,1,0.752,A01,Roster-SIM
RR-0000190,20251003,NIGHT-B,TR-010,Night B,1,0.792,A01,Roster-SIM
RR-0000191,20251003,NIGHT-B,TR-011,Night B,1,0.886,A01,Roster-SIM
RR-0000192,20251003,NIGHT-B,TR-012,Night B,1,0.581,A01,Roster-SIM
RR-0000193,20251003,NIGHT-B,LH-001,Night B,1,0.771,A01,Roster-SIM
RR-0000194,20251003,NIGHT-B,LH-002,Night B,1,0.659,A01,Roster-SIM
RR-0000195,20251003,NIGHT-B,LH-003,Night B,1,0.835,A01,Roster-SIM
RR-0000196,20251003,NIGHT-B,LH-004,Night B,1,0.914,A01,Roster-SIM
RR-0000197,20251003,NIGHT-B,LH-005,Night B,1,0.751,A01,Roster-SIM
RR-0000198,20251003,NIGHT-B,LH-006,Night B,1,0.795,A01,Roster-SIM
RR-0000199,20251003,NIGHT-B,LH-007,Night B,1,0.822,A01,Roster-SIM
RR-0000200,20251003,NIGHT-B,LH-008,Night B,1,0.766,A01,Roster-SIM
RR-0000201,20251003,NIGHT-B,JD-001,Night B,1,0.903,A02,Roster-SIM
RR-0000202,20251003,NIGHT-B,JD-002,Night B,1,0.794,A02,Roster-SIM
RR-0000203,20251003,NIGHT-B,JD-003,Night B,1,0.708,A02,Roster-SIM
RR-0000204,20251003,NIGHT-B,JD-004,Night B,1,0.76,A02,Roster-SIM
RR-0000205,20251003,NIGHT-B,JD-005,Night B,1,0.806,A02,Roster-SIM
RR-0000206,20251003,NIGHT-B,JD-006,Night B,1,0.785,A02,Roster-SIM
RR-0000207,20251003,NIGHT-B,BT-001,Night B,1,0.904,A03,Roster-SIM
RR-0000208,20251003,NIGHT-B,BT-002,Night B,1,0.78,A03,Roster-SIM
RR-0000209,20251003,NIGHT-B,BT-003,Night B,1,0.763,A03,Roster-SIM
RR-0000210,20251003,NIGHT-B,BT-004,Night B,0,0.814,A03,Roster-SIM
RR-0000211,20251003,NIGHT-B,BT-005,Night B,1,0.699,A03,Roster-SIM
RR-0000212,20251003,NIGHT-B,BT-006,Night B,0,0.689,A03,Roster-SIM
RR-0000213,20251003,NIGHT-B,UV-001,Night B,1,0.586,A04,Roster-SIM
RR-0000214,20251003,NIGHT-B,UV-002,Night B,1,0.779,A04,Roster-SIM
RR-0000215,20251003,NIGHT-B,UV-003,Night B,1,0.799,A04,Roster-SIM
RR-0000216,20251003,NIGHT-B,UV-004,Night B,1,0.883,A04,Roster-SIM
RR-0000217,20251004,DAY-A,TR-001,Day A,1,0.781,A01,Roster-SIM
RR-0000218,20251004,DAY-A,TR-002,Day A,1,0.799,A01,Roster-SIM
RR-0000219,20251004,DAY-A,TR-003,Day A,1,0.788,A01,Roster-SIM
RR-0000220,20251004,DAY-A,TR-004,Day A,1,0.816,A01,Roster-SIM
RR-0000221,20251004,DAY-A,TR-005,Day A,1,0.855,A01,Roster-SIM
RR-0000222,20251004,DAY-A,TR-006,Day A,1,1.0,A01,Roster-SIM
RR-0000223,20251004,DAY-A,TR-007,Day A,1,0.725,A01,Roster-SIM
RR-0000224,20251004,DAY-A,TR-008,Day A,1,0.854,A01,Roster-SIM
RR-0000225,20251004,DAY-A,TR-009,Day A,1,0.926,A01,Roster-SIM
RR-0000226,20251004,DAY-A,TR-010,Day A,1,0.832,A01,Roster-SIM
RR-0000227,20251004,DAY-A,TR-011,Day A,1,0.895,A01,Roster-SIM
RR-0000228,20251004,DAY-A,TR-012,Day A,1,0.803,A01,Roster-SIM
RR-0000229,20251004,DAY-A,LH-001,Day A,1,0.79,A01,Roster-SIM
RR-0000230,20251004,DAY-A,LH-002,Day A,1,0.856,A01,Roster-SIM
RR-0000231,20251004,DAY-A,LH-003,Day A,1,0.799,A01,Roster-SIM
RR-0000232,20251004,DAY-A,LH-004,Day A,1,1.0,A01,Roster-SIM
RR-0000233,20251004,DAY-A,LH-005,Day A,1,0.834,A01,Roster-SIM
RR-0000234,20251004,DAY-A,LH-006,Day A,1,0.847,A01,Roster-SIM
RR-0000235,20251004,DAY-A,LH-007,Day A,1,0.868,A01,Roster-SIM
RR-0000236,20251004,DAY-A,LH-008,Day A,1,0.828,A01,Roster-SIM
RR-0000237,20251004,DAY-A,JD-001,Day A,1,0.807,A02,Roster-SIM
RR-0000238,20251004,DAY-A,JD-002,Day A,1,0.766,A02,Roster-SIM
RR-0000239,20251004,DAY-A,JD-003,Day A,1,0.811,A02,Roster-SIM
RR-0000240,20251004,DAY-A,JD-004,Day A,1,0.84,A02,Roster-SIM
RR-0000241,20251004,DAY-A,JD-005,Day A,1,0.764,A02,Roster-SIM
RR-0000242,20251004,DAY-A,JD-006,Day A,1,0.936,A02,Roster-SIM
RR-0000243,20251004,DAY-A,BT-001,Day A,1,0.844,A03,Roster-SIM
RR-0000244,20251004,DAY-A,BT-002,Day A,1,0.906,A03,Roster-SIM
RR-0000245,20251004,DAY-A,BT-003,Day A,1,0.879,A03,Roster-SIM
RR-0000246,20251004,DAY-A,BT-004,Day A,1,0.785,A03,Roster-SIM
RR-0000247,20251004,DAY-A,BT-005,Day A,1,0.783,A03,Roster-SIM
RR-0000248,20251004,DAY-A,BT-006,Day A,1,0.736,A03,Roster-SIM
RR-0000249,20251004,DAY-A,UV-001,Day A,1,0.959,A04,Roster-SIM
RR-0000250,20251004,DAY-A,UV-002,Day A,1,0.998,A04,Roster-SIM
RR-0000251,20251004,DAY-A,UV-003,Day A,1,0.818,A04,Roster-SIM
RR-0000252,20251004,DAY-A,UV-004,Day A,1,0.834,A04,Roster-SIM
RR-0000253,20251004,NIGHT-B,TR-001,Night B,1,0.816,A01,Roster-SIM
RR-0000254,20251004,NIGHT-B,TR-002,Night B,1,0.795,A01,Roster-SIM
RR-0000255,20251004,NIGHT-B,TR-003,Night B,1,0.746,A01,Roster-SIM
RR-0000256,20251004,NIGHT-B,TR-004,Night B,0,0.82,A01,Roster-SIM
RR-0000257,20251004,NIGHT-B,TR-005,Night B,1,0.784,A01,Roster-SIM
RR-0000258,20251004,NIGHT-B,TR-006,Night B,1,0.913,A01,Roster-SIM
RR-0000259,20251004,NIGHT-B,TR-007,Night B,0,0.752,A01,Roster-SIM
RR-0000260,20251004,NIGHT-B,TR-008,Night B,1,0.743,A01,Roster-SIM
RR-0000261,20251004,NIGHT-B,TR-009,Night B,1,0.931,A01,Roster-SIM
RR-0000262,20251004,NIGHT-B,TR-010,Night B,1,0.683,A01,Roster-SIM
RR-0000263,20251004,NIGHT-B,TR-011,Night B,1,0.686,A01,Roster-SIM
RR-0000264,20251004,NIGHT-B,TR-012,Night B,0,0.914,A01,Roster-SIM
RR-0000265,20251004,NIGHT-B,LH-001,Night B,1,0.773,A01,Roster-SIM
RR-0000266,20251004,NIGHT-B,LH-002,Night B,1,0.893,A01,Roster-SIM
RR-0000267,20251004,NIGHT-B,LH-003,Night B,1,0.75,A01,Roster-SIM
RR-0000268,20251004,NIGHT-B,LH-004,Night B,1,0.813,A01,Roster-SIM
RR-0000269,20251004,NIGHT-B,LH-005,Night B,1,0.881,A01,Roster-SIM
RR-0000270,20251004,NIGHT-B,LH-006,Night B,1,0.838,A01,Roster-SIM
RR-0000271,20251004,NIGHT-B,LH-007,Night B,1,0.675,A01,Roster-SIM
RR-0000272,20251004,NIGHT-B,LH-008,Night B,1,0.85,A01,Roster-SIM
RR-0000273,20251004,NIGHT-B,JD-001,Night B,1,0.847,A02,Roster-SIM
RR-0000274,20251004,NIGHT-B,JD-002,Night B,0,0.854,A02,Roster-SIM
RR-0000275,20251004,NIGHT-B,JD-003,Night B,0,0.873,A02,Roster-SIM
RR-0000276,20251004,NIGHT-B,JD-004,Night B,1,0.789,A02,Roster-SIM
RR-0000277,20251004,NIGHT-B,JD-005,Night B,1,0.757,A02,Roster-SIM
RR-0000278,20251004,NIGHT-B,JD-006,Night B,1,0.816,A02,Roster-SIM
RR-0000279,20251004,NIGHT-B,BT-001,Night B,1,0.819,A03,Roster-SIM
RR-0000280,20251004,NIGHT-B,BT-002,Night B,1,0.719,A03,Roster-SIM
RR-0000281,20251004,NIGHT-B,BT-003,Night B,1,0.715,A03,Roster-SIM
RR-0000282,20251004,NIGHT-B,BT-004,Night B,1,0.89,A03,Roster-SIM
RR-0000283,20251004,NIGHT-B,BT-005,Night B,1,0.815,A03,Roster-SIM
RR-0000284,20251004,NIGHT-B,BT-006,Night B,0,0.865,A03,Roster-SIM
RR-0000285,20251004,NIGHT-B,UV-001,Night B,0,0.814,A04,Roster-SIM
RR-0000286,20251004,NIGHT-B,UV-002,Night B,1,0.745,A04,Roster-SIM
RR-0000287,20251004,NIGHT-B,UV-003,Night B,1,0.758,A04,Roster-SIM
RR-0000288,20251004,NIGHT-B,UV-004,Night B,1,0.798,A04,Roster-SIM
RR-0000289,20251005,DAY-A,TR-001,Day A,1,0.819,A01,Roster-SIM
RR-0000290,20251005,DAY-A,TR-002,Day A,1,0.852,A01,Roster-SIM
RR-0000291,20251005,DAY-A,TR-003,Day A,1,0.87,A01,Roster-SIM
RR-0000292,20251005,DAY-A,TR-004,Day A,1,0.961,A01,Roster-SIM
RR-0000293,20251005,DAY-A,TR-005,Day A,1,0.827,A01,Roster-SIM
RR-0000294,20251005,DAY-A,TR-006,Day A,0,0.918,A01,Roster-SIM
RR-0000295,20251005,DAY-A,TR-007,Day A,1,0.863,A01,Roster-SIM
RR-0000296,20251005,DAY-A,TR-008,Day A,1,0.811,A01,Roster-SIM
RR-0000297,20251005,DAY-A,TR-009,Day A,1,0.749,A01,Roster-SIM
RR-0000298,20251005,DAY-A,TR-010,Day A,1,0.937,A01,Roster-SIM
RR-0000299,20251005,DAY-A,TR-011,Day A,1,0.898,A01,Roster-SIM
RR-0000300,20251005,DAY-A,TR-012,Day A,1,0.833,A01,Roster-SIM
RR-0000301,20251005,DAY-A,LH-001,Day A,1,0.9,A01,Roster-SIM
RR-0000302,20251005,DAY-A,LH-002,Day A,1,0.776,A01,Roster-SIM
RR-0000303,20251005,DAY-A,LH-003,Day A,1,0.844,A01,Roster-SIM
RR-0000304,20251005,DAY-A,LH-004,Day A,1,0.969,A01,Roster-SIM
RR-0000305,20251005,DAY-A,LH-005,Day A,1,0.929,A01,Roster-SIM
RR-0000306,20251005,DAY-A,LH-006,Day A,1,0.818,A01,Roster-SIM
RR-0000307,20251005,DAY-A,LH-007,Day A,1,0.879,A01,Roster-SIM
RR-0000308,20251005,DAY-A,LH-008,Day A,1,0.815,A01,Roster-SIM
RR-0000309,20251005,DAY-A,JD-001,Day A,1,0.83,A02,Roster-SIM
RR-0000310,20251005,DAY-A,JD-002,Day A,1,0.741,A02,Roster-SIM
RR-0000311,20251005,DAY-A,JD-003,Day A,1,0.814,A02,Roster-SIM
RR-0000312,20251005,DAY-A,JD-004,Day A,1,0.78,A02,Roster-SIM
RR-0000313,20251005,DAY-A,JD-005,Day A,1,0.768,A02,Roster-SIM
RR-0000314,20251005,DAY-A,JD-006,Day A,1,0.909,A02,Roster-SIM
RR-0000315,20251005,DAY-A,BT-001,Day A,1,0.86,A03,Roster-SIM
