ReadingID,DateKey,ReadingTimestamp,UnitCode,SMUHours,ConditionIndex,HydraulicOilTempC,FeParticlesPPM,BrakeTestDaysOverdue,VibrationIndex,ActiveAlertCount,SourceSystem
CM-0000017,20251001,2025-10-01 08:00:00,LH-005,10978.9,0.829,85.1,20.5,0,0.569,0,PI-SIM
CM-0000018,20251001,2025-10-01 08:00:00,LH-006,13406.1,0.734,83.2,49.6,0,0.651,0,PI-SIM
CM-0000019,20251001,2025-10-01 08:00:00,LH-007,15675.3,0.766,89.3,46.9,0,0.668,0,PI-SIM
CM-0000020,20251001,2025-10-01 08:00:00,LH-008,7907.2,0.733,87.3,49.1,0,1.033,0,PI-SIM
CM-0000021,20251001,2025-10-01 08:00:00,JD-001,15613.3,0.71,88.1,45.0,0,0.743,0,PI-SIM
CM-0000022,20251001,2025-10-01 08:00:00,JD-002,11258.7,0.746,93.0,44.3,0,0.697,0,PI-SIM
CM-0000023,20251001,2025-10-01 08:00:00,JD-003,9021.2,0.791,89.7,36.1,0,0.469,0,PI-SIM
CM-0000024,20251001,2025-10-01 08:00:00,JD-004,16660.0,0.651,91.5,47.1,0,0.933,0,PI-SIM
CM-0000025,20251001,2025-10-01 08:00:00,JD-005,17925.9,0.687,88.8,39.7,0,0.99,0,PI-SIM
CM-0000026,20251001,2025-10-01 08:00:00,JD-006,16753.1,0.79,82.6,36.5,0,0.805,0,PI-SIM
CM-0000027,20251001,2025-10-01 08:00:00,BT-001,10512.5,0.761,86.8,32.8,0,0.707,0,PI-SIM
CM-0000028,20251001,2025-10-01 08:00:00,BT-002,17483.1,0.848,82.7,31.3,0,0.515,0,PI-SIM
CM-0000029,20251001,2025-10-01 08:00:00,BT-003,16386.7,0.782,90.4,32.5,0,0.64,0,PI-SIM
CM-0000030,20251001,2025-10-01 08:00:00,BT-004,17749.5,0.826,88.0,37.1,0,0.635,0,PI-SIM
CM-0000031,20251001,2025-10-01 08:00:00,BT-005,6924.9,0.892,80.6,20.4,0,0.489,0,PI-SIM
CM-0000032,20251001,2025-10-01 08:00:00,BT-006,16813.8,0.738,84.6,51.8,0,0.738,0,PI-SIM
CM-0000033,20251001,2025-10-01 08:00:00,UV-001,8004.8,0.833,85.2,38.9,0,0.533,0,PI-SIM
CM-0000034,20251001,2025-10-01 08:00:00,UV-002,11350.9,0.854,86.3,23.0,0,0.476,0,PI-SIM
CM-0000035,20251001,2025-10-01 08:00:00,UV-003,12145.9,0.867,80.3,26.1,0,0.515,0,PI-SIM
CM-0000036,20251001,2025-10-01 08:00:00,UV-004,8462.4,0.88,80.7,15.1,0,0.461,0,PI-SIM
CM-0000037,20251002,2025-10-02 08:00:00,TR-001,13564.7,0.77,91.3,36.9,0,0.878,0,PI-SIM
CM-0000038,20251002,2025-10-02 08:00:00,TR-002,17249.1,0.806,82.9,45.7,0,0.681,0,PI-SIM
CM-0000039,20251002,2025-10-02 08:00:00,TR-003,11862.0,0.746,89.0,39.6,0,0.755,0,PI-SIM
CM-0000040,20251002,2025-10-02 08:00:00,TR-004,6687.3,0.725,88.6,64.0,0,0.933,0,PI-SIM
CM-0000041,20251002,2025-10-02 08:00:00,TR-005,9045.2,0.817,86.3,13.0,0,0.501,0,PI-SIM
CM-0000042,20251002,2025-10-02 08:00:00,TR-006,11119.6,0.804,87.6,21.1,0,0.586,0,PI-SIM
CM-0000043,20251002,2025-10-02 08:00:00,TR-007,16979.3,0.748,89.1,33.2,0,0.675,0,PI-SIM
CM-0000044,20251002,2025-10-02 08:00:00,TR-008,11943.4,0.811,85.8,27.2,0,0.58,0,PI-SIM
CM-0000045,20251002,2025-10-02 08:00:00,TR-009,8308.5,0.847,84.5,38.0,0,0.403,0,PI-SIM
CM-0000046,20251002,2025-10-02 08:00:00,TR-010,9063.1,0.758,89.8,35.4,0,0.68,0,PI-SIM
CM-0000047,20251002,2025-10-02 08:00:00,TR-011,13897.3,0.75,85.7,53.4,0,0.629,0,PI-SIM
CM-0000048,20251002,2025-10-02 08:00:00,TR-012,16058.2,0.822,86.3,33.4,0,0.612,0,PI-SIM
CM-0000049,20251002,2025-10-02 08:00:00,LH-001,14960.2,0.769,89.0,45.0,0,0.675,0,PI-SIM
CM-0000050,20251002,2025-10-02 08:00:00,LH-002,10720.5,0.735,89.4,30.7,0,0.797,0,PI-SIM
CM-0000051,20251002,2025-10-02 08:00:00,LH-003,10371.4,0.694,90.2,47.0,0,0.916,0,PI-SIM
CM-0000052,20251002,2025-10-02 08:00:00,LH-004,14749.2,0.727,89.5,40.2,0,0.97,0,PI-SIM
CM-0000053,20251002,2025-10-02 08:00:00,LH-005,10992.7,0.819,92.1,28.4,0,0.568,0,PI-SIM
CM-0000054,20251002,2025-10-02 08:00:00,LH-006,13420.0,0.742,84.4,45.6,0,0.651,0,PI-SIM
CM-0000055,20251002,2025-10-02 08:00:00,LH-007,15689.4,0.8,88.7,27.4,0,0.66,0,PI-SIM
CM-0000056,20251002,2025-10-02 08:00:00,LH-008,7920.5,0.676,91.5,54.1,0,0.835,0,PI-SIM
CM-0000057,20251002,2025-10-02 08:00:00,JD-001,15626.1,0.733,81.4,43.8,0,0.743,0,PI-SIM
CM-0000058,20251002,2025-10-02 08:00:00,JD-002,11271.5,0.799,85.9,46.5,0,0.685,0,PI-SIM
CM-0000059,20251002,2025-10-02 08:00:00,JD-003,9034.1,0.822,85.6,36.5,0,0.686,0,PI-SIM
CM-0000060,20251002,2025-10-02 08:00:00,JD-004,16672.1,0.733,88.4,51.8,0,0.85,0,PI-SIM
CM-0000061,20251002,2025-10-02 08:00:00,JD-005,17937.4,0.643,89.7,57.5,0,0.807,0,PI-SIM
CM-0000062,20251002,2025-10-02 08:00:00,JD-006,16766.1,0.789,90.4,50.0,0,0.688,0,PI-SIM
CM-0000063,20251002,2025-10-02 08:00:00,BT-001,10524.9,0.828,87.3,35.0,0,0.642,0,PI-SIM
CM-0000064,20251002,2025-10-02 08:00:00,BT-002,17495.6,0.737,93.0,39.2,0,0.794,0,PI-SIM
CM-0000065,20251002,2025-10-02 08:00:00,BT-003,16399.0,0.778,88.1,46.5,0,0.636,0,PI-SIM
CM-0000066,20251002,2025-10-02 08:00:00,BT-004,17762.0,0.835,83.6,30.1,0,0.613,0,PI-SIM
CM-0000067,20251002,2025-10-02 08:00:00,BT-005,6938.2,0.805,85.5,42.3,0,0.416,0,PI-SIM
CM-0000068,20251002,2025-10-02 08:00:00,BT-006,16826.1,0.807,85.3,33.2,0,0.641,0,PI-SIM
CM-0000069,20251002,2025-10-02 08:00:00,UV-001,8016.6,0.888,86.4,23.9,0,0.474,0,PI-SIM
CM-0000070,20251002,2025-10-02 08:00:00,UV-002,11363.3,0.894,86.1,32.4,0,0.46,0,PI-SIM
CM-0000071,20251002,2025-10-02 08:00:00,UV-003,12157.7,0.928,81.5,20.6,0,0.23,0,PI-SIM
CM-0000072,20251002,2025-10-02 08:00:00,UV-004,8474.3,0.892,81.2,19.1,0,0.54,0,PI-SIM
CM-0000073,20251003,2025-10-03 08:00:00,TR-001,13579.7,0.809,81.6,49.9,0,0.689,0,PI-SIM
CM-0000074,20251003,2025-10-03 08:00:00,TR-002,17264.0,0.778,92.8,48.3,0,0.451,0,PI-SIM
CM-0000075,20251003,2025-10-03 08:00:00,TR-003,11876.7,0.768,90.2,30.8,0,0.651,0,PI-SIM
CM-0000076,20251003,2025-10-03 08:00:00,TR-004,6702.0,0.812,87.3,38.8,0,0.598,0,PI-SIM
CM-0000077,20251003,2025-10-03 08:00:00,TR-005,9060.0,0.803,84.8,33.0,0,0.658,0,PI-SIM
CM-0000078,20251003,2025-10-03 08:00:00,TR-006,11134.5,0.753,87.9,44.5,0,0.704,0,PI-SIM
CM-0000079,20251003,2025-10-03 08:00:00,TR-007,16994.0,0.781,82.2,27.5,0,0.672,0,PI-SIM
CM-0000080,20251003,2025-10-03 08:00:00,TR-008,11958.8,0.82,89.5,44.3,0,0.724,0,PI-SIM
CM-0000081,20251003,2025-10-03 08:00:00,TR-009,8323.5,0.817,87.3,42.3,0,0.56,0,PI-SIM
CM-0000082,20251003,2025-10-03 08:00:00,TR-010,9077.3,0.785,86.7,50.5,0,0.619,0,PI-SIM
CM-0000083,20251003,2025-10-03 08:00:00,TR-011,13912.0,0.837,86.9,49.7,0,0.556,0,PI-SIM
CM-0000084,20251003,2025-10-03 08:00:00,TR-012,16073.1,0.783,82.1,53.4,0,0.624,0,PI-SIM
CM-0000085,20251003,2025-10-03 08:00:00,LH-001,14974.2,0.784,86.0,40.9,0,0.435,0,PI-SIM
CM-0000086,20251003,2025-10-03 08:00:00,LH-002,10734.1,0.749,89.6,42.1,0,0.67,0,PI-SIM
CM-0000087,20251003,2025-10-03 08:00:00,LH-003,10385.3,0.811,91.2,44.4,0,0.565,0,PI-SIM
CM-0000088,20251003,2025-10-03 08:00:00,LH-004,14762.7,0.665,86.8,51.5,0,0.929,0,PI-SIM
CM-0000089,20251003,2025-10-03 08:00:00,LH-005,11006.4,0.819,90.2,29.4,0,0.433,0,PI-SIM
CM-0000090,20251003,2025-10-03 08:00:00,LH-006,13433.9,0.751,90.0,45.7,0,0.709,0,PI-SIM
CM-0000091,20251003,2025-10-03 08:00:00,LH-007,15703.6,0.676,82.3,52.0,0,0.682,0,PI-SIM
CM-0000092,20251003,2025-10-03 08:00:00,LH-008,7933.9,0.715,85.9,45.2,0,0.79,0,PI-SIM
CM-0000093,20251003,2025-10-03 08:00:00,JD-001,15638.8,0.773,84.6,44.6,0,0.764,0,PI-SIM
CM-0000094,20251003,2025-10-03 08:00:00,JD-002,11284.4,0.786,83.6,37.5,0,0.675,0,PI-SIM
CM-0000095,20251003,2025-10-03 08:00:00,JD-003,9047.1,0.863,82.7,30.3,0,0.603,0,PI-SIM
CM-0000096,20251003,2025-10-03 08:00:00,JD-004,16684.2,0.672,88.9,52.7,0,0.78,0,PI-SIM
CM-0000097,20251003,2025-10-03 08:00:00,JD-005,17949.0,0.66,89.6,56.9,0,1.002,0,PI-SIM
CM-0000098,20251003,2025-10-03 08:00:00,JD-006,16779.1,0.752,89.9,47.4,0,0.764,0,PI-SIM
CM-0000099,20251003,2025-10-03 08:00:00,BT-001,10537.3,0.795,89.5,41.1,0,0.701,0,PI-SIM
CM-0000100,20251003,2025-10-03 08:00:00,BT-002,17508.1,0.828,85.0,34.4,0,0.539,0,PI-SIM
CM-0000101,20251003,2025-10-03 08:00:00,BT-003,16411.4,0.816,84.7,28.9,0,0.586,0,PI-SIM
CM-0000102,20251003,2025-10-03 08:00:00,BT-004,17774.4,0.855,80.1,29.2,0,0.418,0,PI-SIM
CM-0000103,20251003,2025-10-03 08:00:00,BT-005,6951.5,0.894,87.3,19.0,0,0.522,0,PI-SIM
CM-0000104,20251003,2025-10-03 08:00:00,BT-006,16838.4,0.739,87.3,49.8,0,0.64,0,PI-SIM
CM-0000105,20251003,2025-10-03 08:00:00,UV-001,8028.5,0.879,87.7,20.0,0,0.541,0,PI-SIM
CM-0000106,20251003,2025-10-03 08:00:00,UV-002,11375.7,0.878,88.3,17.3,0,0.53,0,PI-SIM
CM-0000107,20251003,2025-10-03 08:00:00,UV-003,12169.6,0.826,85.7,22.3,0,0.494,0,PI-SIM
CM-0000108,20251003,2025-10-03 08:00:00,UV-004,8486.3,0.847,86.4,21.6,0,0.554,0,PI-SIM
CM-0000109,20251004,2025-10-04 08:00:00,TR-001,13594.6,0.813,88.6,41.8,0,0.614,0,PI-SIM
CM-0000110,20251004,2025-10-04 08:00:00,TR-002,17278.8,0.701,92.2,67.4,0,0.803,0,PI-SIM
CM-0000111,20251004,2025-10-04 08:00:00,TR-003,11891.3,0.777,89.3,45.6,0,0.557,0,PI-SIM
CM-0000112,20251004,2025-10-04 08:00:00,TR-004,6716.6,0.807,86.0,30.9,0,0.556,0,PI-SIM
CM-0000113,20251004,2025-10-04 08:00:00,TR-005,9074.8,0.826,85.4,33.1,0,0.631,0,PI-SIM
CM-0000114,20251004,2025-10-04 08:00:00,TR-006,11149.3,0.787,85.9,52.8,0,0.613,0,PI-SIM
CM-0000115,20251004,2025-10-04 08:00:00,TR-007,17008.7,0.771,85.1,42.1,0,0.736,0,PI-SIM
CM-0000116,20251004,2025-10-04 08:00:00,TR-008,11974.1,0.788,87.3,59.2,0,0.654,0,PI-SIM
CM-0000117,20251004,2025-10-04 08:00:00,TR-009,8338.5,0.816,81.7,36.4,0,0.44,0,PI-SIM
CM-0000118,20251004,2025-10-04 08:00:00,TR-010,9091.6,0.779,84.1,34.9,0,0.559,0,PI-SIM
CM-0000119,20251004,2025-10-04 08:00:00,TR-011,13926.8,0.746,94.9,39.7,0,0.674,0,PI-SIM
CM-0000120,20251004,2025-10-04 08:00:00,TR-012,16088.1,0.797,95.5,38.2,0,0.669,0,PI-SIM
CM-0000121,20251004,2025-10-04 08:00:00,LH-001,14988.3,0.77,85.1,40.4,0,0.656,0,PI-SIM
CM-0000122,20251004,2025-10-04 08:00:00,LH-002,10747.8,0.648,87.8,57.8,0,0.892,0,PI-SIM
CM-0000123,20251004,2025-10-04 08:00:00,LH-003,10399.3,0.746,87.2,60.4,0,0.875,0,PI-SIM
CM-0000124,20251004,2025-10-04 08:00:00,LH-004,14776.3,0.692,88.5,50.8,0,0.859,0,PI-SIM
CM-0000125,20251004,2025-10-04 08:00:00,LH-005,11020.2,0.783,87.1,42.3,0,0.595,0,PI-SIM
CM-0000126,20251004,2025-10-04 08:00:00,LH-006,13447.9,0.771,84.3,40.2,0,0.712,0,PI-SIM
CM-0000127,20251004,2025-10-04 08:00:00,LH-007,15717.7,0.74,90.0,36.4,0,0.587,0,PI-SIM
CM-0000128,20251004,2025-10-04 08:00:00,LH-008,7947.2,0.729,91.4,47.9,0,0.95,0,PI-SIM
CM-0000129,20251004,2025-10-04 08:00:00,JD-001,15651.5,0.741,82.8,50.2,0,0.882,0,PI-SIM
CM-0000130,20251004,2025-10-04 08:00:00,JD-002,11297.3,0.811,86.6,30.8,0,0.576,0,PI-SIM
CM-0000131,20251004,2025-10-04 08:00:00,JD-003,9060.0,0.791,84.5,52.9,0,0.515,0,PI-SIM
CM-0000132,20251004,2025-10-04 08:00:00,JD-004,16696.4,0.674,96.8,51.5,0,0.869,0,PI-SIM
CM-0000133,20251004,2025-10-04 08:00:00,JD-005,17960.5,0.623,90.0,39.7,0,0.968,0,PI-SIM
CM-0000134,20251004,2025-10-04 08:00:00,JD-006,16792.1,0.824,80.2,35.3,0,0.582,0,PI-SIM
CM-0000135,20251004,2025-10-04 08:00:00,BT-001,10549.7,0.843,79.1,19.0,0,0.443,0,PI-SIM
CM-0000136,20251004,2025-10-04 08:00:00,BT-002,17520.6,0.821,85.9,31.9,0,0.465,0,PI-SIM
CM-0000137,20251004,2025-10-04 08:00:00,BT-003,16423.8,0.783,86.8,40.4,0,0.478,0,PI-SIM
CM-0000138,20251004,2025-10-04 08:00:00,BT-004,17786.9,0.801,83.9,27.8,0,0.62,0,PI-SIM
CM-0000139,20251004,2025-10-04 08:00:00,BT-005,6964.7,0.889,79.3,24.3,0,0.468,0,PI-SIM
CM-0000140,20251004,2025-10-04 08:00:00,BT-006,16850.7,0.749,86.6,34.9,0,0.783,0,PI-SIM
CM-0000141,20251004,2025-10-04 08:00:00,UV-001,8040.3,0.798,85.2,34.0,0,0.59,0,PI-SIM
CM-0000142,20251004,2025-10-04 08:00:00,UV-002,11388.1,0.878,85.4,20.9,0,0.481,0,PI-SIM
CM-0000143,20251004,2025-10-04 08:00:00,UV-003,12181.5,0.883,85.0,18.8,0,0.483,0,PI-SIM
CM-0000144,20251004,2025-10-04 08:00:00,UV-004,8498.2,0.917,88.6,35.6,0,0.487,0,PI-SIM
CM-0000145,20251005,2025-10-05 08:00:00,TR-001,13609.5,0.818,79.9,39.0,0,0.613,0,PI-SIM
CM-0000146,20251005,2025-10-05 08:00:00,TR-002,17293.7,0.758,83.6,44.7,0,0.837,0,PI-SIM
CM-0000147,20251005,2025-10-05 08:00:00,TR-003,11906.0,0.752,87.2,36.4,0,0.625,0,PI-SIM
CM-0000148,20251005,2025-10-05 08:00:00,TR-004,6731.3,0.789,84.1,43.5,0,0.532,0,PI-SIM
CM-0000149,20251005,2025-10-05 08:00:00,TR-005,9089.6,0.775,84.7,43.3,0,0.701,0,PI-SIM
CM-0000150,20251005,2025-10-05 08:00:00,TR-006,11164.2,0.793,84.3,28.6,0,0.716,0,PI-SIM
CM-0000151,20251005,2025-10-05 08:00:00,TR-007,17023.4,0.801,89.5,39.6,0,0.615,0,PI-SIM
CM-0000152,20251005,2025-10-05 08:00:00,TR-008,11989.5,0.864,83.1,28.9,0,0.533,0,PI-SIM
CM-0000153,20251005,2025-10-05 08:00:00,TR-009,8353.5,0.854,92.0,36.0,0,0.597,0,PI-SIM
CM-0000154,20251005,2025-10-05 08:00:00,TR-010,9105.9,0.779,86.3,30.2,0,0.673,0,PI-SIM
CM-0000155,20251005,2025-10-05 08:00:00,TR-011,13941.5,0.752,86.6,38.4,0,0.74,0,PI-SIM
CM-0000156,20251005,2025-10-05 08:00:00,TR-012,16103.0,0.789,86.3,31.7,0,0.568,0,PI-SIM
CM-0000157,20251005,2025-10-05 08:00:00,LH-001,15002.3,0.728,90.2,48.1,0,0.76,0,PI-SIM
CM-0000158,20251005,2025-10-05 08:00:00,LH-002,10761.4,0.736,86.4,41.6,0,0.648,0,PI-SIM
CM-0000159,20251005,2025-10-05 08:00:00,LH-003,10413.3,0.715,85.8,39.3,0,0.754,0,PI-SIM
CM-0000160,20251005,2025-10-05 08:00:00,LH-004,14789.9,0.616,93.6,33.9,0,0.844,0,PI-SIM
CM-0000161,20251005,2025-10-05 08:00:00,LH-005,11033.9,0.751,93.3,44.6,0,0.702,0,PI-SIM
CM-0000162,20251005,2025-10-05 08:00:00,LH-006,13461.8,0.733,92.1,49.8,0,0.626,0,PI-SIM
CM-0000163,20251005,2025-10-05 08:00:00,LH-007,15731.8,0.717,86.7,66.7,0,0.718,0,PI-SIM
CM-0000164,20251005,2025-10-05 08:00:00,LH-008,7960.5,0.678,91.0,60.1,0,0.913,0,PI-SIM
CM-0000165,20251005,2025-10-05 08:00:00,JD-001,15664.2,0.688,88.9,49.0,0,0.806,0,PI-SIM
CM-0000166,20251005,2025-10-05 08:00:00,JD-002,11310.2,0.787,86.8,40.6,0,0.524,0,PI-SIM
CM-0000167,20251005,2025-10-05 08:00:00,JD-003,9072.9,0.865,88.2,42.7,0,0.646,0,PI-SIM
CM-0000168,20251005,2025-10-05 08:00:00,JD-004,16708.5,0.694,84.7,45.8,0,0.731,0,PI-SIM
CM-0000169,20251005,2025-10-05 08:00:00,JD-005,17972.0,0.652,98.3,46.2,0,0.976,0,PI-SIM
CM-0000170,20251005,2025-10-05 08:00:00,JD-006,16805.1,0.88,80.8,27.8,0,0.328,0,PI-SIM
CM-0000171,20251005,2025-10-05 08:00:00,BT-001,10562.1,0.798,84.8,29.2,0,0.654,0,PI-SIM
CM-0000172,20251005,2025-10-05 08:00:00,BT-002,17533.1,0.889,78.6,19.9,0,0.523,0,PI-SIM
CM-0000173,20251005,2025-10-05 08:00:00,BT-003,16436.1,0.75,94.4,51.7,0,0.781,0,PI-SIM
CM-0000174,20251005,2025-10-05 08:00:00,BT-004,17799.4,0.833,87.0,22.9,0,0.614,0,PI-SIM
CM-0000175,20251005,2025-10-05 08:00:00,BT-005,6978.0,0.85,88.0,25.2,0,0.596,0,PI-SIM
CM-0000176,20251005,2025-10-05 08:00:00,BT-006,16863.0,0.815,88.1,36.5,0,0.594,0,PI-SIM
CM-0000177,20251005,2025-10-05 08:00:00,UV-001,8052.1,0.796,83.5,25.4,0,0.649,0,PI-SIM
CM-0000178,20251005,2025-10-05 08:00:00,UV-002,11400.5,0.909,80.3,34.4,0,0.439,0,PI-SIM
CM-0000179,20251005,2025-10-05 08:00:00,UV-003,12193.4,0.849,80.9,28.5,0,0.467,0,PI-SIM
CM-0000180,20251005,2025-10-05 08:00:00,UV-004,8510.2,0.9,79.7,44.9,0,0.466,0,PI-SIM
CM-0000181,20251006,2025-10-06 08:00:00,TR-001,13624.4,0.831,89.5,31.3,0,0.513,0,PI-SIM
CM-0000182,20251006,2025-10-06 08:00:00,TR-002,17308.6,0.787,83.2,38.8,0,0.672,0,PI-SIM
CM-0000183,20251006,2025-10-06 08:00:00,TR-003,11920.7,0.801,82.4,38.7,0,0.562,0,PI-SIM
CM-0000184,20251006,2025-10-06 08:00:00,TR-004,6745.9,0.759,90.2,44.8,0,0.756,0,PI-SIM
CM-0000185,20251006,2025-10-06 08:00:00,TR-005,9104.5,0.818,88.1,31.9,0,0.549,0,PI-SIM
CM-0000186,20251006,2025-10-06 08:00:00,TR-006,11179.1,0.855,85.1,16.3,0,0.514,0,PI-SIM
CM-0000187,20251006,2025-10-06 08:00:00,TR-007,17038.1,0.822,81.4,42.0,0,0.484,0,PI-SIM
CM-0000188,20251006,2025-10-06 08:00:00,TR-008,12004.8,0.842,82.3,17.9,0,0.662,0,PI-SIM
CM-0000189,20251006,2025-10-06 08:00:00,TR-009,8368.4,0.834,82.2,39.7,0,0.623,0,PI-SIM
CM-0000190,20251006,2025-10-06 08:00:00,TR-010,9120.1,0.779,87.3,44.8,0,0.691,0,PI-SIM
CM-0000191,20251006,2025-10-06 08:00:00,TR-011,13956.3,0.773,88.3,43.9,0,0.708,0,PI-SIM
CM-0000192,20251006,2025-10-06 08:00:00,TR-012,16118.0,0.838,89.6,30.8,0,0.555,0,PI-SIM
CM-0000193,20251006,2025-10-06 08:00:00,LH-001,15016.3,0.778,90.4,42.0,0,0.7,0,PI-SIM
CM-0000194,20251006,2025-10-06 08:00:00,LH-002,10775.0,0.755,89.3,31.2,0,0.766,0,PI-SIM
CM-0000195,20251006,2025-10-06 08:00:00,LH-003,10427.2,0.693,90.1,33.1,0,0.775,0,PI-SIM
CM-0000196,20251006,2025-10-06 08:00:00,LH-004,14803.5,0.703,87.2,55.1,0,0.747,0,PI-SIM
CM-0000197,20251006,2025-10-06 08:00:00,LH-005,11047.7,0.78,85.2,32.9,0,0.87,0,PI-SIM
CM-0000198,20251006,2025-10-06 08:00:00,LH-006,13475.7,0.714,88.8,54.6,0,0.872,0,PI-SIM
CM-0000199,20251006,2025-10-06 08:00:00,LH-007,15745.9,0.802,86.3,39.3,0,0.595,0,PI-SIM
CM-0000200,20251006,2025-10-06 08:00:00,LH-008,7973.8,0.714,88.2,48.8,0,0.729,0,PI-SIM
CM-0000201,20251006,2025-10-06 08:00:00,JD-001,15677.0,0.74,89.9,34.8,0,0.744,0,PI-SIM
CM-0000202,20251006,2025-10-06 08:00:00,JD-002,11323.1,0.798,88.3,46.2,0,0.616,0,PI-SIM
CM-0000203,20251006,2025-10-06 08:00:00,JD-003,9085.9,0.774,89.0,39.0,0,0.682,0,PI-SIM
CM-0000204,20251006,2025-10-06 08:00:00,JD-004,16720.6,0.688,89.7,46.1,0,0.87,0,PI-SIM
CM-0000205,20251006,2025-10-06 08:00:00,JD-005,17983.6,0.638,88.2,53.4,0,1.072,0,PI-SIM
CM-0000206,20251006,2025-10-06 08:00:00,JD-006,16818.1,0.818,86.1,42.7,0,0.595,0,PI-SIM
CM-0000207,20251006,2025-10-06 08:00:00,BT-001,10574.6,0.78,83.9,43.4,0,0.606,0,PI-SIM
CM-0000208,20251006,2025-10-06 08:00:00,BT-002,17545.6,0.832,87.1,31.8,0,0.576,0,PI-SIM
CM-0000209,20251006,2025-10-06 08:00:00,BT-003,16448.5,0.733,87.2,47.2,0,0.683,0,PI-SIM
CM-0000210,20251006,2025-10-06 08:00:00,BT-004,17811.8,0.771,87.7,36.5,0,0.659,0,PI-SIM
CM-0000211,20251006,2025-10-06 08:00:00,BT-005,6991.3,0.854,84.3,33.8,0,0.623,0,PI-SIM
CM-0000212,20251006,2025-10-06 08:00:00,BT-006,16875.4,0.79,85.9,36.5,0,0.661,0,PI-SIM
CM-0000213,20251006,2025-10-06 08:00:00,UV-001,8063.9,0.824,79.8,27.4,0,0.623,0,PI-SIM
CM-0000214,20251006,2025-10-06 08:00:00,UV-002,11412.9,0.853,82.2,32.9,0,0.436,0,PI-SIM
CM-0000215,20251006,2025-10-06 08:00:00,UV-003,12205.3,0.924,80.1,30.7,0,0.205,0,PI-SIM
CM-0000216,20251006,2025-10-06 08:00:00,UV-004,8522.1,0.956,84.4,27.3,0,0.33,0,PI-SIM
CM-0000217,20251007,2025-10-07 08:00:00,TR-001,13639.3,0.809,88.5,39.4,0,0.487,0,PI-SIM
CM-0000218,20251007,2025-10-07 08:00:00,TR-002,17323.4,0.755,85.5,45.5,0,0.674,0,PI-SIM
CM-0000219,20251007,2025-10-07 08:00:00,TR-003,11935.4,0.719,88.9,30.5,0,0.787,0,PI-SIM
CM-0000220,20251007,2025-10-07 08:00:00,TR-004,6760.6,0.749,89.0,34.6,0,0.775,0,PI-SIM
CM-0000221,20251007,2025-10-07 08:00:00,TR-005,9119.3,0.833,83.7,37.6,0,0.558,0,PI-SIM
CM-0000222,20251007,2025-10-07 08:00:00,TR-006,11194.0,0.842,82.9,22.2,0,0.6,0,PI-SIM
CM-0000223,20251007,2025-10-07 08:00:00,TR-007,17052.9,0.796,89.7,26.5,0,0.414,0,PI-SIM
CM-0000224,20251007,2025-10-07 08:00:00,TR-008,12020.2,0.844,85.9,36.1,0,0.501,0,PI-SIM
CM-0000225,20251007,2025-10-07 08:00:00,TR-009,8383.4,0.848,82.7,37.6,0,0.581,0,PI-SIM
CM-0000226,20251007,2025-10-07 08:00:00,TR-010,9134.4,0.798,89.1,47.3,0,0.727,0,PI-SIM
